
******************************************************************************

       Energy levels and statistical weights for FeV   

 Data is from K Butler, Priv. Com. Feb 95   
 Date data calculated: 20-Jun-1989                             

 This data file was written by the program:
 Uhaul:/export/home1/users/dlmiller/atomic/create/mk_data_file.f
 See the comments in this routine for more information.  DLM

  Config        Statistical   Energy  Ionization
                  Weight      (cm-1)  Energy(eV)
******************************************************************************

28-Jun-1995                             !Date
182                                     !Number of energy levels
605000.0000                             !Ionization energy (cm-1)
5.0                                     !Screened nuclear charge
3800                                    !Number of transitions

3d4(4)5De[1]-3d3(4P3)4p3Po[0]        6.9910D-04   1.0680D+08     361.935     2- 104      34
3d4(4)5De[1]-3d3(4P3)4p3Po[2]        7.3080D-04   2.2380D+07     361.511     2- 105      35
3d4(4)5De[1]-3d3(4P3)4p3Po[1]        3.2500D-07   1.6590D+04     361.502     2- 106      36
3d4(4)5De[1]-3d3(2P3)4p1So[0]        3.8330D-06   6.0220D+05     356.894     2- 114      37
3d4(4)5De[1]-3d3(2G3)4p3Fo[2]        1.8400D-06   5.7880D+04     356.636     2- 116      38
3d4(4)5De[1]-3d3(2P3)4p3Po[1]        7.3260D-05   3.8810D+06     354.858     2- 118      39
3d4(4)5De[1]-3d3(2P3)4p3Po[0]        2.9070D-05   4.6290D+06     354.494     2- 120      40
3d4(4)5De[1]-3d3(4P3)4p5So[2]        1.6210D-05   5.1690D+05     354.256     2- 121      41
3d4(4)5De[1]-3d3(2P3)4p3Po[2]        2.3000D-05   7.3440D+05     354.029     2- 123      42
3d4(4)5De[1]-3d3(2D3)4p3Fo[2]        3.7320D-05   1.2010D+06     352.679     2- 125      43
3d4(4)5De[1]-3d3(4P3)4p3Do[1]        2.3110D-06   1.2400D+05     352.595     2- 126      44
3d4(4)5De[1]-3d3(2P3)4p1Do[2]        1.0450D-07   3.3920D+03     351.162     2- 129      45
3d4(4)5De[1]-3d3(2P3)4p1Po[1]        2.0610D-06   1.1230D+05     349.871     2- 132      46
3d4(4)5De[1]-3d3(4P3)4p3Do[2]        2.3340D-05   7.6410D+05     349.635     2- 133      47
3d4(4)5De[1]-3d3(4P3)4p3So[1]        6.2050D-05   3.3870D+06     349.595     2- 134      48
3d4(4)5De[1]-3d3(2P3)4p3Do[1]        1.6000D-06   8.7720D+04     348.781     2- 136      49
3d4(4)5De[1]-3d3(2P3)4p3Do[2]        3.0740D-05   1.0110D+06     348.772     2- 137      50
3d4(4)5De[1]-3d3(2D3)4p3Do[1]        1.2630D-06   7.0140D+04     346.587     2- 142      51
3d4(4)5De[1]-3d3(2D3)4p3Do[2]        3.8360D-07   1.2840D+04     345.725     2- 144      52
3d4(4)5De[1]-3d3(2D3)4p3Po[2]        4.7060D-06   1.5870D+05     344.512     2- 148      53
3d4(4)5De[1]-3d3(2D3)4p3Po[1]        1.8390D-05   1.0350D+06     344.303     2- 149      54
3d4(4)5De[1]-3d3(2D3)4p3Po[0]        3.6460D-08   6.1690D+03     343.925     2- 150      55
