 
******************************************************************************
 
       Photoionization cross-sections for O I
 
 Data is from the Opacity project
   Verner high energy tail included for gnd level
   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  
           2 - Hydrogenic (n,l)
           3 - Hydrogenic (n)
          20 - Opacity Project: smoothed [number of data pairs]         

 [Reference] O\,{\sc i} photoionization cross-sections were computed as part of the opacity project
 [Reference] \citep{Sea87_OP} and were obtained from \citep{Topbase93}.
 
******************************************************************************
 
 6-Oct-1999                             !Date
69                                      !Number of energy levels
1                                       !Number of photoionization routes
1.0                                     !Screened nuclear charge
2s2_2p3_4So/2p^3_4So                    !Final state in ion
0.0                                     !Excitation energy of final state
4.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
11368                                   !Total number of data pairs
 
2s2_2p4_3Pe                             !Configuration name
 3.336D+00 7.216D+00
 3.353D+00 1.387D+01
 3.370D+00 2.448D+01
 3.386D+00 3.707D+01
 3.403D+00 4.630D+01
 3.420D+00 4.713D+01
 3.437D+00 3.897D+01
 3.455D+00 2.621D+01
 3.472D+00 1.454D+01
 3.489D+00 6.748D+00
 3.506D+00 2.742D+00
 3.524D+00 1.033D+00
 3.542D+00 3.992D-01
 3.559D+00 1.684D-01
 3.577D+00 7.818D-02
 3.595D+00 3.759D-02
 3.613D+00 1.808D-02
 3.631D+00 8.875D-03
 3.649D+00 5.412D-03
 3.667D+00 5.273D-03
 3.685D+00 7.130D-03
 3.704D+00 1.020D-02
 3.722D+00 1.397D-02
 3.760D+00 2.255D-02
 3.854D+00 4.563D-02
 3.893D+00 5.668D-02
 3.912D+00 6.451D-02
 3.971D+00 9.673D-02
 3.991D+00 9.880D-02
 4.011D+00 9.208D-02
 4.051D+00 7.187D-02
 4.071D+00 6.830D-02
 4.092D+00 6.991D-02
 4.153D+00 8.481D-02
 4.174D+00 8.704D-02
 4.237D+00 8.625D-02
 4.387D+00 9.137D-02
 4.919D+00 9.556D-02
 7.253D+00 7.317D-02
 1.028D+01 4.983D-02
 1.164D+01 3.473D-02
 1.230D+01 2.947D-02
 1.365D+01 2.154D-02
 1.508D+01 1.598D-02
 1.649D+01 1.221D-02
 1.795D+01 9.472D-03
 1.944D+01 7.459D-03
 2.084D+01 6.052D-03
 2.224D+01 4.983D-03
 2.360D+01 4.165D-03
 2.493D+01 3.534D-03
 2.754D+01 2.622D-03
 2.983D+01 2.065D-03
 3.182D+01 1.700D-03
 3.515D+01 1.261D-03
 3.750D+01 1.039D-03
 3.864D+01 9.714D-04
2s2_2p3(4So)3s_3So                      !Configuration name
20                                      !Type of cross-section
184                                     !Number of cross-section points
 1.000D+00 4.678D-02
 1.010D+00 5.589D-02
 1.020D+00 7.098D-02
 1.030D+00 9.187D-02
 1.041D+00 1.182D-01
 1.056D+00 1.702D-01
 1.072D+00 2.448D-01
 1.083D+00 3.147D-01
 1.094D+00 4.103D-01
 1.105D+00 5.479D-01
 1.110D+00 6.425D-01
 1.116D+00 7.629D-01
 1.121D+00 9.222D-01
 1.127D+00 1.137D+00
 1.133D+00 1.439D+00
 1.138D+00 1.866D+00
 1.144D+00 2.476D+00
 1.150D+00 3.304D+00
 1.161D+00 5.455D+00
 1.167D+00 6.390D+00
 1.173D+00 6.835D+00
 1.179D+00 6.604D+00
 1.184D+00 5.750D+00
 1.196D+00 3.295D+00
 1.202D+00 2.245D+00
 1.208D+00 1.478D+00
 1.214D+00 9.593D-01
 1.220D+00 6.278D-01
 1.226D+00 4.158D-01
 1.233D+00 2.799D-01
 1.239D+00 1.896D-01
 1.245D+00 1.289D-01
 1.251D+00 8.675D-02
 1.257D+00 5.756D-02
 1.264D+00 3.710D-02
 1.270D+00 2.306D-02
 1.276D+00 1.361D-02
 1.283D+00 7.689D-03
 1.289D+00 4.410D-03
 1.295D+00 3.228D-03
 1.302D+00 3.707D-03
 1.308D+00 5.536D-03
 1.315D+00 8.506D-03
 1.322D+00 1.242D-02
 1.328D+00 1.720D-02
 1.341D+00 2.890D-02
 1.355D+00 4.319D-02
 1.375D+00 6.942D-02
 1.396D+00 1.028D-01
 1.417D+00 1.469D-01
 1.431D+00 1.866D-01
 1.445D+00 2.414D-01
 1.453D+00 2.790D-01
 1.460D+00 3.286D-01
 1.467D+00 4.003D-01
 1.475D+00 5.132D-01
 1.482D+00 7.026D-01
 1.489D+00 1.004D+00
 1.504D+00 1.851D+00
 1.512D+00 2.109D+00
 1.519D+00 2.029D+00
 1.527D+00 1.625D+00
 1.534D+00 1.100D+00
 1.542D+00 6.932D-01
 1.550D+00 5.556D-01
 1.558D+00 7.106D-01
 1.565D+00 1.078D+00
 1.573D+00 1.483D+00
 1.581D+00 1.698D+00
 1.589D+00 1.589D+00
 1.597D+00 1.213D+00
 1.605D+00 7.728D-01
 1.613D+00 4.652D-01
 1.621D+00 3.692D-01
 1.629D+00 4.515D-01
 1.637D+00 6.016D-01
 1.645D+00 6.874D-01
 1.653D+00 6.366D-01
 1.670D+00 3.177D-01
 1.678D+00 2.334D-01
 1.687D+00 2.513D-01
 1.704D+00 4.216D-01
 1.712D+00 4.562D-01
 1.729D+00 4.087D-01
 1.738D+00 3.977D-01
 1.764D+00 4.131D-01
 1.791D+00 4.076D-01
 1.863D+00 4.384D-01
 1.882D+00 4.575D-01
 1.891D+00 4.842D-01
 1.901D+00 5.355D-01
 1.920D+00 7.000D-01
 1.929D+00 7.485D-01
 1.939D+00 7.228D-01
 1.958D+00 5.146D-01
 1.968D+00 4.260D-01
 1.978D+00 3.791D-01
 1.988D+00 3.645D-01
 2.018D+00 3.896D-01
 2.058D+00 5.099D-01
 2.069D+00 5.094D-01
 2.100D+00 4.224D-01
 2.131D+00 4.440D-01
 2.229D+00 4.224D-01
 2.693D+00 3.819D-01
 2.990D+00 3.992D-01
 3.174D+00 4.546D-01
 3.303D+00 5.503D-01
 3.386D+00 6.745D-01
 3.437D+00 8.036D-01
 3.489D+00 1.022D+00
 3.524D+00 1.265D+00
 3.542D+00 1.439D+00
 3.559D+00 1.673D+00
 3.577D+00 1.996D+00
 3.595D+00 2.471D+00
 3.613D+00 3.214D+00
 3.631D+00 4.471D+00
 3.649D+00 6.656D+00
 3.667D+00 1.038D+01
 3.685D+00 1.599D+01
 3.722D+00 2.975D+01
 3.741D+00 3.342D+01
 3.760D+00 3.231D+01
 3.778D+00 2.691D+01
 3.797D+00 1.960D+01
 3.816D+00 1.276D+01
 3.835D+00 7.784D+00
 3.854D+00 4.672D+00
 3.874D+00 2.924D+00
 3.893D+00 1.955D+00
 3.912D+00 1.404D+00
 3.932D+00 1.064D+00
 3.951D+00 8.404D-01
 3.971D+00 6.841D-01
 3.991D+00 5.712D-01
 4.011D+00 4.863D-01
 4.051D+00 3.705D-01
 4.092D+00 2.969D-01
 4.133D+00 2.471D-01
 4.174D+00 2.114D-01
 4.237D+00 1.722D-01
 4.258D+00 1.636D-01
 4.301D+00 1.586D-01
 4.322D+00 1.596D-01
 4.365D+00 1.553D-01
 4.431D+00 1.353D-01
 4.498D+00 1.247D-01
 4.680D+00 1.106D-01
 5.196D+00 9.024D-02
 6.033D+00 7.361D-02
 6.310D+00 7.102D-02
 6.437D+00 7.196D-02
 6.501D+00 6.821D-02
 6.566D+00 5.951D-02
 6.632D+00 5.572D-02
 6.799D+00 5.931D-02
 7.005D+00 5.986D-02
 7.218D+00 5.598D-02
 7.855D+00 5.042D-02
 9.779D+00 3.795D-02
 1.119D+01 3.111D-02
 1.205D+01 2.508D-02
 1.279D+01 2.096D-02
 1.358D+01 1.752D-02
 1.442D+01 1.465D-02
 1.523D+01 1.243D-02
 1.609D+01 1.055D-02
 1.699D+01 8.948D-03
 1.887D+01 6.540D-03
 2.074D+01 4.924D-03
 2.268D+01 3.763D-03
 2.469D+01 2.919D-03
 2.660D+01 2.333D-03
 2.852D+01 1.893D-03
 3.043D+01 1.559D-03
 3.230D+01 1.303D-03
 3.412D+01 1.105D-03
 3.750D+01 8.325D-04
 4.061D+01 6.555D-04
 4.311D+01 5.480D-04
 4.763D+01 4.065D-04
 5.056D+01 3.398D-04
 5.209D+01 3.160D-04
2s2_2p3(4So)3p_5Pe                      !Configuration name
20                                      !Type of cross-section
56                                      !Number of cross-section points
 1.000D+00 4.450D+00
 1.046D+00 3.710D+00
 1.121D+00 2.672D+00
 1.202D+00 1.925D+00
 1.289D+00 1.391D+00
 1.368D+00 1.066D+00
 1.403D+00 9.526D-01
 1.482D+00 7.582D-01
 1.519D+00 6.883D-01
 1.621D+00 5.452D-01
 1.755D+00 4.365D-01
 1.949D+00 3.643D-01
 2.263D+00 3.347D-01
 3.760D+00 3.425D-01
 4.798D+00 3.324D-01
 4.993D+00 3.485D-01
 5.094D+00 3.819D-01
 5.119D+00 4.085D-01
 5.145D+00 4.681D-01
 5.170D+00 6.110D-01
 5.196D+00 9.450D-01
 5.222D+00 1.625D+00
 5.248D+00 2.761D+00
 5.274D+00 4.155D+00
 5.301D+00 5.234D+00
 5.327D+00 5.353D+00
 5.354D+00 4.399D+00
 5.380D+00 2.920D+00
 5.407D+00 1.595D+00
 5.434D+00 7.713D-01
 5.461D+00 3.877D-01
 5.489D+00 2.540D-01
 5.516D+00 2.194D-01
 5.544D+00 2.150D-01
 5.798D+00 2.358D-01
 5.914D+00 2.278D-01
 6.373D+00 2.186D-01
 9.075D+00 1.445D-01
 1.064D+01 1.136D-01
 1.292D+01 8.190D-02
 1.531D+01 6.198D-02
 1.708D+01 4.504D-02
 1.877D+01 3.391D-02
 2.053D+01 2.591D-02
 2.235D+01 2.011D-02
 2.408D+01 1.607D-02
 2.582D+01 1.304D-02
 2.754D+01 1.074D-02
 2.924D+01 8.975D-03
 3.088D+01 7.615D-03
 3.395D+01 5.734D-03
 3.676D+01 4.515D-03
 3.903D+01 3.774D-03
 4.311D+01 2.800D-03
 4.577D+01 2.340D-03
 4.715D+01 2.185D-03
2s2_2p3(4So)3p_3Pe                      !Configuration name
20                                      !Type of cross-section
115                                     !Number of cross-section points
 1.000D+00 2.059D+00
 1.099D+00 1.403D+00
 1.184D+00 1.066D+00
 1.283D+00 8.455D-01
 1.417D+00 6.966D-01
 1.589D+00 6.202D-01
 1.670D+00 5.495D-01
 1.678D+00 5.655D-01
 1.704D+00 7.144D-01
 1.712D+00 7.378D-01
 1.764D+00 6.466D-01
 1.910D+00 5.963D-01
 1.929D+00 6.147D-01
 1.958D+00 7.070D-01
 1.968D+00 7.089D-01
 1.998D+00 6.438D-01
 2.018D+00 6.252D-01
 2.028D+00 6.381D-01
 2.038D+00 6.857D-01
 2.069D+00 1.006D+00
 2.079D+00 1.022D+00
 2.089D+00 9.462D-01
 2.110D+00 7.401D-01
 2.121D+00 6.966D-01
 2.131D+00 6.884D-01
 2.142D+00 6.896D-01
 2.185D+00 6.638D-01
 2.218D+00 6.998D-01
 2.251D+00 8.155D-01
 2.263D+00 8.306D-01
 2.308D+00 7.795D-01
 2.354D+00 9.295D-01
 2.414D+00 7.741D-01
 2.499D+00 7.643D-01
 2.537D+00 7.646D-01
 2.575D+00 7.631D-01
 2.601D+00 7.677D-01
 2.680D+00 7.366D-01
 2.720D+00 7.385D-01
 2.859D+00 7.178D-01
 2.917D+00 7.194D-01
 4.258D+00 5.254D-01
 5.018D+00 4.717D-01
 5.222D+00 4.868D-01
 5.354D+00 5.205D-01
 5.407D+00 5.522D-01
 5.461D+00 6.092D-01
 5.489D+00 6.647D-01
 5.516D+00 7.995D-01
 5.544D+00 1.250D+00
 5.571D+00 2.792D+00
 5.599D+00 7.124D+00
 5.627D+00 1.656D+01
 5.655D+00 3.156D+01
 5.683D+00 4.835D+01
 5.712D+00 5.938D+01
 5.740D+00 5.963D+01
 5.769D+00 5.050D+01
 5.827D+00 2.519D+01
 5.856D+00 1.545D+01
 5.885D+00 8.623D+00
 5.914D+00 4.375D+00
 5.944D+00 2.140D+00
 5.973D+00 1.123D+00
 6.003D+00 7.122D-01
 6.033D+00 5.442D-01
 6.063D+00 4.657D-01
 6.124D+00 3.898D-01
 6.185D+00 3.644D-01
 6.278D+00 4.064D-01
 6.310D+00 4.076D-01
 6.405D+00 3.485D-01
 6.469D+00 3.319D-01
 6.833D+00 2.968D-01
 7.511D+00 2.527D-01
 7.700D+00 2.479D-01
 7.816D+00 2.486D-01
 8.134D+00 2.189D-01
 8.940D+00 1.878D-01
 9.828D+00 1.647D-01
 9.926D+00 1.750D-01
 1.008D+01 2.325D-01
 1.013D+01 2.414D-01
 1.018D+01 2.344D-01
 1.033D+01 1.709D-01
 1.038D+01 1.580D-01
 1.043D+01 1.513D-01
 1.054D+01 1.488D-01
 1.070D+01 1.524D-01
 1.152D+01 1.287D-01
 1.358D+01 9.417D-02
 1.546D+01 7.468D-02
 1.674D+01 6.523D-02
 1.795D+01 5.333D-02
 1.905D+01 4.458D-02
 2.023D+01 3.726D-02
 2.147D+01 3.115D-02
 2.268D+01 2.643D-02
 2.396D+01 2.242D-02
 2.531D+01 1.903D-02
 2.810D+01 1.390D-02
 3.088D+01 1.047D-02
 3.378D+01 8.001D-03
 3.676D+01 6.207D-03
 3.981D+01 4.888D-03
 4.269D+01 3.965D-03
 4.554D+01 3.266D-03
 4.834D+01 2.730D-03
 5.106D+01 2.316D-03
 5.641D+01 1.718D-03
 6.109D+01 1.353D-03
 6.485D+01 1.131D-03
 7.164D+01 8.388D-04
 7.605D+01 7.013D-04
 7.835D+01 6.568D-04
2s2_2p3(4So)4s_5So                      !Configuration name
20                                      !Type of cross-section
96                                      !Number of cross-section points
 1.000D+00 1.687D-02
 1.010D+00 1.483D-02
 1.035D+00 7.384D-03
 1.046D+00 4.937D-03
 1.051D+00 3.925D-03
 1.056D+00 3.042D-03
 1.062D+00 2.294D-03
 1.067D+00 1.669D-03
 1.072D+00 1.167D-03
 1.078D+00 7.810D-04
 1.083D+00 5.097D-04
 1.088D+00 3.465D-04
 1.094D+00 2.893D-04
 1.099D+00 3.338D-04
 1.105D+00 4.758D-04
 1.110D+00 7.131D-04
 1.116D+00 1.040D-03
 1.121D+00 1.456D-03
 1.127D+00 1.954D-03
 1.133D+00 2.536D-03
 1.138D+00 3.193D-03
 1.144D+00 3.929D-03
 1.161D+00 6.552D-03
 1.179D+00 9.788D-03
 1.196D+00 1.351D-02
 1.220D+00 1.926D-02
 1.289D+00 3.716D-02
 1.519D+00 9.938D-02
 1.746D+00 1.443D-01
 2.048D+00 1.778D-01
 2.512D+00 1.938D-01
 3.472D+00 1.793D-01
 5.274D+00 1.399D-01
 6.310D+00 1.334D-01
 6.867D+00 1.448D-01
 6.936D+00 1.356D-01
 7.005D+00 1.149D-01
 7.040D+00 1.092D-01
 7.075D+00 1.100D-01
 7.218D+00 1.354D-01
 7.586D+00 1.759D-01
 7.700D+00 1.946D-01
 7.816D+00 2.229D-01
 7.894D+00 2.512D-01
 7.973D+00 2.933D-01
 8.053D+00 3.627D-01
 8.093D+00 4.194D-01
 8.134D+00 5.184D-01
 8.174D+00 7.588D-01
 8.215D+00 1.514D+00
 8.256D+00 3.810D+00
 8.297D+00 9.636D+00
 8.338D+00 2.082D+01
 8.380D+00 3.646D+01
 8.422D+00 5.052D+01
 8.464D+00 5.528D+01
 8.506D+00 4.774D+01
 8.591D+00 1.775D+01
 8.634D+00 7.729D+00
 8.677D+00 2.759D+00
 8.721D+00 8.294D-01
 8.764D+00 2.321D-01
 8.808D+00 7.280D-02
 8.852D+00 3.372D-02
 8.896D+00 2.318D-02
 8.940D+00 1.843D-02
 8.985D+00 1.442D-02
 9.030D+00 1.124D-02
 9.075D+00 9.656D-03
 9.120D+00 9.496D-03
 9.211D+00 1.064D-02
 9.444D+00 1.431D-02
 9.779D+00 1.861D-02
 9.926D+00 1.934D-02
 1.075D+01 1.550D-02
 1.141D+01 1.296D-02
 1.211D+01 1.083D-02
 1.279D+01 9.189D-03
 1.352D+01 7.796D-03
 1.428D+01 6.615D-03
 1.508D+01 5.613D-03
 1.674D+01 4.102D-03
 1.840D+01 3.088D-03
 2.013D+01 2.361D-03
 2.191D+01 1.831D-03
 2.360D+01 1.463D-03
 2.531D+01 1.187D-03
 2.700D+01 9.778D-04
 2.866D+01 8.174D-04
 3.028D+01 6.936D-04
 3.328D+01 5.223D-04
 3.604D+01 4.112D-04
 3.826D+01 3.437D-04
 4.247D+01 2.512D-04
 4.486D+01 2.132D-04
 4.622D+01 2.012D-04
2s2_2p3(4So)4s_3So                      !Configuration name
20                                      !Type of cross-section
260                                     !Number of cross-section points
 1.000D+00 1.205D-02
 1.010D+00 9.520D-03
 1.025D+00 4.597D-03
 1.030D+00 3.229D-03
 1.035D+00 2.183D-03
 1.041D+00 1.514D-03
 1.046D+00 1.230D-03
 1.051D+00 1.339D-03
 1.056D+00 1.843D-03
 1.062D+00 2.745D-03
