2p^3_2Po    -2p^2_6d'2De      2.001E-02   5.048E+08      398.34    10.0   2.3208E-01       3.812E-02  2.352E-02  1.541E-02    15
2p^3_2Do    -2p^2_6d'2Pe      7.001E-03   5.456E+08      377.70     6.0   2.3423E-01       2.446E-02  1.517E-02  9.962E-03    16
2p^3_2Po    -2p^2_6d'2Pe      1.657E-02   6.970E+08      398.23     6.0   2.3423E-01       3.125E-02  1.938E-02  1.273E-02    17
2p^3_2Po    -2p^2_4d''2De     4.576E-02   1.221E+09      387.30    10.0   4.4667E-01       3.292E-02  3.399E-02  2.645E-02    18
2p^2_6d2De  -2p^2_4f''2Fo     9.601E-01   3.166E+08     3801.17    14.0   4.6550E-01       1.092E-02  1.179E-02  9.317E-03    19
2p^3_2Po    -2p^2_5d''2De     2.650E-02   7.636E+08      372.65    10.0   7.5100E-01       4.778E-03  1.024E-02  1.017E-02    20
2p^4_2De    -2p^33s*2Do       1.461E-01   2.235E+09      660.29    10.0   1.0096E+00       4.042E-03  1.612E-02  1.967E-02    21
2p^2_3s4Pe   -2p^3_3d'''4Do     4.925E-03   2.372E+07      911.53    20.0   3.4015E-01       2.132E-03  1.705E-03  1.219E-03     1
2p^2_5d4Pe   -2p^3_3d'''4Do     8.682E-02   3.056E+07     3372.03    20.0   3.4015E-01       2.747E-03  2.197E-03  1.570E-03     2
2p^3_3p'''4Pe-2p^3_3d'''4Do     5.813E-01   6.623E+07     5926.83    20.0   3.4015E-01       5.954E-03  4.762E-03  3.402E-03     3
2p^2_3s4Pe   -2p^3_3s*4Do       1.613E-01   9.680E+08      816.65    20.0   7.2225E-01       1.391E-02  2.782E-02  2.699E-02     4
2p^3__4So    -2p^3_4p'''4Pe     2.499E-02   5.329E+08      322.92    12.0   7.7672E-01       3.537E-03  8.064E-03  8.170E-03     5
2p^3__4So    -2p^3_5p'''4Pe     2.514E-02   5.826E+08      309.72    12.0   1.1724E+00       5.789E-04  3.411E-03  4.743E-03     6
2p^2_3p4Do   -2p^3_3p*4De       4.636E-02   4.544E+08      824.95    20.0   1.3297E+00       3.537E-04  3.040E-03  4.794E-03     7
2p^2_3p4Po   -2p^3_3p*4De       1.079E-01   6.186E+08      835.53    20.0   1.3297E+00       4.815E-04  4.138E-03  6.526E-03     8
2p^2_3p4Do   -2p^3_3p*4Fe       1.186E-01   8.435E+08      818.38    28.0   1.3589E+00       7.991E-04  7.366E-03  1.189E-02     9
2p^2_3s4Pe   -2p^3_3s**4Po      2.225E-01   3.105E+09      691.38    12.0   1.3874E+00       1.099E-03  1.085E-02  1.792E-02    10
2p^2_3p4Po   -2p^3_3p*4Pe       4.985E-02   5.557E+08      773.56    12.0   1.6172E+00       6.532E-05  1.119E-03  2.221E-03    11
2p^2_3p4Po   -2p^3_3p*4Se       7.319E-02   2.951E+09      704.48     4.0   1.9972E+00       1.866E-05  7.957E-04  2.140E-03    12
2p^2_3p4Do   -2p^3_3p**4De      1.357E-01   1.890E+09      692.06    20.0   2.0275E+00       5.166E-05  2.369E-03  6.529E-03    13
2p^2_3p4Po   -2p^3_3p**4De      8.170E-02   6.683E+08      699.49    20.0   2.0275E+00       1.827E-05  8.378E-04  2.309E-03    14
2p^2_3d4Fe   -2p^3_3d*4Fo       4.622E-02   4.500E+08      827.68    28.0   2.0532E+00       1.522E-05  7.426E-04  2.089E-03    15
2p^2_3d4De   -2p^3_3d*4Fo       7.300E-02   4.967E+08      836.81    28.0   2.0532E+00       1.680E-05  8.196E-04  2.305E-03    16
2p^2_3d4Fe   -2p^3_3d*4Go       1.072E-01   8.165E+08      825.16    36.0   2.0643E+00       3.367E-05  1.687E-03  4.787E-03    17
2p^2_3d4Pe   -2p^3_3d*4Do       7.098E-02   4.126E+08      829.77    20.0   2.0766E+00       8.912E-06  4.598E-04  1.318E-03    18
2p^2_3d4De   -2p^3_3d*4Do       5.750E-02   5.549E+08      831.39    20.0   2.0766E+00       1.199E-05  6.184E-04  1.772E-03    19
2p^2_3d4Pe   -2p^3_3d*4Po       7.059E-02   6.954E+08      822.83    12.0   2.1070E+00       7.788E-06  4.322E-04  1.269E-03    20
2p^2_3p4Do   -2p^3_3p**4Pe      4.941E-02   1.218E+09      671.52    12.0   2.1600E+00       1.058E-05  6.667E-04  2.042E-03    21
2p^2_3p4S0   -2p^3_3p**4Pe      1.643E-01   7.539E+08      696.14    12.0   2.1600E+00       6.546E-06  4.126E-04  1.264E-03    22
