2s14s1Se                           1.0      1.0      380940.56305
2s14p1Po                           3.0      3.0      380971.49187
2s14p3Po                           9.0      9.0      381055.16371
2p4p1Pe                            3.0      3.0      381105.40000
2s14d3De                          15.0     15.0      381144.18929
2s14g3Ge                          27.0     27.0      381190.01289
2s14g1Ge                           9.0      9.0      381190.01289
2s14d1De                           5.0      5.0      381195.06622
2s14h3Ho                          33.0     33.0      381199.39162
2s14h1Ho                          11.0     11.0      381199.39162
2s14i3Ie                          39.0     39.0      381201.55223
2s14i1Ie                          13.0     13.0      381201.55223
2s14z3Z                          441.0    441.0      381202.27213
2s14z1Z                          147.0    147.0      381202.27213
2s14f3Fo                          21.0     21.0      381205.86929
2s14f1Fo                           7.0      7.0      381209.46260
2s15w3W                          675.0    675.0      381851.70816
2s15w1W                          225.0    225.0      381851.70816
2s16w3W                          768.0    768.0      382383.22397
2s16w1W                          256.0    256.0      382383.22397
2s17w3W                          867.0    867.0      382823.73127
2s17w1W                          289.0    289.0      382823.73127
2s18w3W                          972.0    972.0      383192.88067
2s18w1W                          324.0    324.0      383192.88067
2s19w3W                         1083.0   1083.0      383505.29179
2s19w1W                          361.0    361.0      383505.29179
2s20w3W                         1200.0   1200.0      383772.02334
2s20w1W                          400.0    400.0      383772.02334
2s21w3W                         1323.0   1323.0      384001.56539
2s21w1W                          441.0    441.0      384001.56539
2s22w3W                         1452.0   1452.0      384200.52342
2s22w1W                          484.0    484.0      384200.52342
2s23w3W                         1587.0   1587.0      384374.09893
2s23w1W                          529.0    529.0      384374.09893
2p4p3Pe                            9.0      9.0      384387.00000
2s24w3W                         1728.0   1728.0      384526.43288
2s24w1W                          576.0    576.0      384526.43288
2s25w3W                         1875.0   1875.0      384660.85494
2s25w1W                          625.0    625.0      384660.85494
2s26w3W                         2028.0   2028.0      384780.06707
2s26w1W                          676.0    676.0      384780.06707
2s27w3W                         2187.0   2187.0      384886.28030
2s27w1W                          729.0    729.0      384886.28030
2s28w3W                         2352.0   2352.0      384981.31803
2s28w1W                          784.0    784.0      384981.31803
2s29w3W                         2523.0   2523.0      385066.69481
2s29w1W                          841.0    841.0      385066.69481
2s30w3W                         2700.0   2700.0      385143.67704
2s30w1W                          900.0    900.0      385143.67704
2p4d1Do                            5.0      5.0      385817.20000
