**************************************************************************************************
 
 C III photoioization data

 [Reference] C\,{\sc iii} photoioization data is from P.~J.Storey (private communication).

**************************************************************************************************

13-Mar-2002 18:22:42              !Date
217                               !Number of energy levels
2                                 !Number of photoionization routes
3.0                               !Screened nuclear charge
2s2Se/2s_2Se                      !Final state in ion
0                                 !Excitation energy of final state
2                                 !Statistical weight of ion
500.0                             !Sigma used for Gaussian smoothing (km/s)
Megabarns                         !Cross-section unit
False                             !Split J levels
56901                             !Total number of data pairs

2s2s1Se                      !Configuration name
20                           !Type of cross-section
174                          !Number of cross-section points
 1.90033E+00   6.2251E-01
 1.90365E+00   7.8351E-01
 1.90632E+00   8.1969E-01
 1.90966E+00   7.8342E-01
 1.91300E+00   8.6574E-01
 1.91568E+00   1.0171E+00
 1.91635E+00   9.9270E-01
 1.91836E+00   7.8096E-01
 1.91971E+00   7.3260E-01
 1.92981E+00   8.1407E-01
 1.93657E+00   8.1517E-01
 1.94064E+00   8.4646E-01
 1.95700E+00   8.4988E-01
 1.96112E+00   8.1960E-01
 1.96937E+00   8.8821E-01
 1.97489E+00   8.3549E-01
 1.97696E+00   7.7208E-01
 1.98389E+00   8.8238E-01
 1.98667E+00   9.7014E-01
 1.98806E+00   9.0499E-01
 1.98945E+00   7.7583E-01
 1.99015E+00   7.5341E-01
 1.99154E+00   8.0289E-01
 1.99433E+00   9.9278E-01
 1.99503E+00   9.8161E-01
 1.99642E+00   8.1050E-01
 1.99712E+00   7.1489E-01
 1.99782E+00   6.5873E-01
 1.99922E+00   6.5465E-01
 2.00342E+00   7.2105E-01
 2.00904E+00   7.1509E-01
 2.01608E+00   8.0415E-01
 2.01961E+00   7.3327E-01
 2.02882E+00   8.2361E-01
 2.03166E+00   7.1857E-01
 2.03521E+00   7.5882E-01
 2.03878E+00   8.4254E-01
 2.04092E+00   9.1784E-01
 2.04235E+00   8.4223E-01
 2.04378E+00   7.5087E-01
 2.04664E+00   7.4656E-01
 2.04951E+00   7.5004E-01
 2.05238E+00   7.0690E-01
 2.06101E+00   7.4296E-01
 2.06534E+00   7.1364E-01
 2.07476E+00   7.9519E-01
 2.07766E+00   6.6500E-01
 2.07912E+00   6.6066E-01
 2.08203E+00   7.0396E-01
 2.08641E+00   7.3073E-01
 2.09079E+00   7.6687E-01
 2.09518E+00   6.8205E-01
 2.10474E+00   7.3551E-01
 2.10842E+00   6.7886E-01
 2.11433E+00   7.1316E-01
 2.11729E+00   6.8238E-01
 2.12100E+00   7.0205E-01
 2.13365E+00   6.8702E-01
 2.44217E+00   5.1454E-01
 2.75645E+00   3.8976E-01

2p2p3Pe                      !Configuration name
20                           !Type of cross-section
305                          !Number of cross-section points
 1.00000E+00   6.1103E-01
 1.00140E+00   8.5992E-01
 1.00245E+00   1.1445E+00
 1.00315E+00   1.4286E+00
 1.00386E+00   1.8356E+00
 1.00456E+00   2.4340E+00
 1.00491E+00   2.8492E+00
 1.00526E+00   3.3828E+00
 1.00561E+00   4.0835E+00
 1.00597E+00   5.0267E+00
 1.00632E+00   6.3410E+00
 1.00667E+00   8.2313E+00
 1.00702E+00   1.1028E+01
 1.00737E+00   1.5202E+01
 1.00773E+00   2.1290E+01
 1.00808E+00   2.9575E+01
 1.00879E+00   4.9489E+01
 1.00914E+00   5.6652E+01
 1.00949E+00   5.8614E+01
 1.00984E+00   5.4624E+01
 1.01091E+00   2.6540E+01
 1.01126E+00   1.9056E+01
 1.01161E+00   1.3705E+01
 1.01197E+00   1.0080E+01
 1.01232E+00   7.6398E+00
 1.01268E+00   5.9734E+00
 1.01303E+00   4.7966E+00
 1.01338E+00   3.9427E+00
 1.01374E+00   3.3005E+00
 1.01445E+00   2.4110E+00
 1.01516E+00   1.8426E+00
 1.01622E+00   1.3122E+00
 1.01729E+00   9.7288E-01
 1.01836E+00   7.5381E-01
 1.01979E+00   5.6961E-01
 1.02157E+00   4.0708E-01
 1.02372E+00   2.9226E-01
 1.02623E+00   2.1413E-01
 1.02839E+00   1.6329E-01
 1.03235E+00   1.0881E-01
 1.03633E+00   7.6229E-02
 1.04069E+00   5.3661E-02
 1.04507E+00   3.8593E-02
 1.04984E+00   2.7293E-02
 1.05499E+00   1.8770E-02
 1.06017E+00   1.3049E-02
 1.06426E+00   1.0313E-02
 1.06687E+00   9.7827E-03
 1.06911E+00   1.0924E-02
 1.07023E+00   1.2670E-02
 1.07098E+00   1.5161E-02
 1.07173E+00   1.9651E-02
 1.07211E+00   2.3231E-02
 1.07248E+00   2.8564E-02
 1.07286E+00   3.8322E-02
 1.07323E+00   7.3833E-02
 1.07361E+00   1.9003E-01
 1.07398E+00   5.7157E-01
 1.07436E+00   1.5920E+00
 1.07474E+00   3.7035E+00
 1.07549E+00   1.0186E+01
 1.07586E+00   1.1845E+01
 1.07624E+00   1.0839E+01
 1.07662E+00   7.8186E+00
 1.07699E+00   4.4615E+00
 1.07737E+00   2.0406E+00
 1.07775E+00   7.8205E-01
 1.07813E+00   2.7939E-01
 1.07850E+00   1.1749E-01
 1.07888E+00   6.8957E-02
 1.07926E+00   5.2302E-02
 1.07964E+00   4.4977E-02
 1.08039E+00   3.6947E-02
 1.08115E+00   3.3576E-02
 1.08266E+00   3.2749E-02
 1.08418E+00   3.5994E-02
 1.08608E+00   4.5964E-02
 1.08760E+00   6.0404E-02
 1.08874E+00   7.6288E-02
 1.09026E+00   1.1017E-01
 1.09141E+00   1.4704E-01
 1.09217E+00   1.8442E-01
 1.09294E+00   2.3841E-01
 1.09370E+00   3.1660E-01
 1.09447E+00   4.3570E-01
 1.09485E+00   5.2201E-01
 1.09523E+00   6.3694E-01
 1.09562E+00   7.9423E-01
 1.09600E+00   1.0206E+00
 1.09638E+00   1.3677E+00
 1.09677E+00   1.9470E+00
 1.09715E+00   2.9870E+00
 1.09754E+00   4.9272E+00
 1.09792E+00   8.3945E+00
 1.09830E+00   1.3885E+01
 1.09907E+00   2.7794E+01
 1.09946E+00   3.1537E+01
 1.09984E+00   3.0372E+01
 1.10023E+00   2.4924E+01
 1.10061E+00   1.7718E+01
 1.10100E+00   1.1283E+01
 1.10138E+00   6.7940E+00
 1.10177E+00   4.1158E+00
 1.10215E+00   2.6462E+00
 1.10254E+00   1.8352E+00
 1.10292E+00   1.3617E+00
 1.10331E+00   1.0616E+00
 1.10370E+00   8.5680E-01
 1.10408E+00   7.0919E-01
 1.10486E+00   5.1203E-01
 1.10563E+00   3.8721E-01
 1.10640E+00   3.0511E-01
 1.10757E+00   2.2651E-01
 1.10873E+00   1.7171E-01
 1.11028E+00   1.2525E-01
 1.11184E+00   9.6350E-02
 1.11495E+00   5.9636E-02
 1.11730E+00   4.3904E-02
 1.11964E+00   3.2141E-02
 1.12317E+00   2.0948E-02
 1.12711E+00   1.3443E-02
 1.12909E+00   1.1529E-02
 1.13067E+00   1.1573E-02
 1.13146E+00   1.2779E-02
 1.13185E+00   1.4200E-02
 1.13225E+00   1.8544E-02
 1.13265E+00   3.4887E-02
 1.13304E+00   9.6686E-02
 1.13344E+00   3.0276E-01
 1.13384E+00   8.4172E-01
 1.13423E+00   1.9110E+00
 1.13503E+00   4.8717E+00
 1.13542E+00   5.4168E+00
 1.13582E+00   4.7216E+00
 1.13662E+00   1.7448E+00
 1.13701E+00   7.5397E-01
 1.13741E+00   2.7477E-01
 1.13781E+00   9.7243E-02
 1.13821E+00   4.5408E-02
 1.13861E+00   3.1448E-02
 1.13900E+00   2.9552E-02
 1.13980E+00   3.0989E-02
 1.14060E+00   3.6424E-02
 1.14140E+00   4.5991E-02
 1.14220E+00   6.1273E-02
 1.14300E+00   8.5207E-02
 1.14340E+00   1.0220E-01
 1.14380E+00   1.2468E-01
 1.14420E+00   1.5540E-01
 1.14460E+00   1.9881E-01
 1.14500E+00   2.6340E-01
 1.14540E+00   3.7046E-01
 1.14580E+00   5.7352E-01
 1.14620E+00   1.0081E+00
 1.14660E+00   1.9740E+00
 1.14700E+00   3.9677E+00
 1.14740E+00   7.4160E+00
 1.14821E+00   1.6457E+01
 1.14861E+00   1.8503E+01
 1.14901E+00   1.7082E+01
 1.14941E+00   1.3001E+01
 1.14982E+00   8.3035E+00
 1.15022E+00   4.6264E+00
 1.15062E+00   2.4053E+00
 1.15102E+00   1.2889E+00
 1.15143E+00   7.7033E-01
 1.15183E+00   5.2178E-01
 1.15223E+00   3.8750E-01
 1.15263E+00   3.0454E-01
 1.15304E+00   2.4761E-01
 1.15344E+00   2.0650E-01
 1.15425E+00   1.5156E-01
 1.15506E+00   1.1571E-01
 1.15587E+00   9.0732E-02
 1.15708E+00   6.6537E-02
 1.15870E+00   4.7426E-02
 1.16032E+00   3.3176E-02
 1.16195E+00   2.4370E-02
 1.16357E+00   1.7698E-02
 1.16480E+00   1.4294E-02
 1.16602E+00   1.2365E-02
 1.16643E+00   1.2160E-02
 1.16684E+00   1.3139E-02
 1.16724E+00   2.0249E-02
 1.16765E+00   5.0179E-02
 1.16806E+00   1.5521E-01
 1.16847E+00   4.3808E-01
 1.16888E+00   1.0121E+00
 1.16970E+00   2.6553E+00
 1.17011E+00   2.9866E+00
 1.17052E+00   2.6292E+00
 1.17134E+00   9.8602E-01
 1.17175E+00   4.2936E-01
 1.17216E+00   1.6061E-01
 1.17257E+00   6.4034E-02
 1.17298E+00   4.0264E-02
 1.17339E+00   3.9797E-02
 1.17380E+00   4.8557E-02
 1.17421E+00   6.2906E-02
 1.17462E+00   8.5909E-02
 1.17503E+00   1.2981E-01
 1.17544E+00   2.2908E-01
 1.17585E+00   4.8152E-01
 1.17626E+00   1.1189E+00
 1.17668E+00   2.5071E+00
 1.17709E+00   4.9262E+00
 1.17750E+00   8.0594E+00
 1.17791E+00   1.0727E+01
 1.17832E+00   1.1522E+01
 1.17874E+00   9.9651E+00
 1.17956E+00   4.0545E+00
 1.17997E+00   2.0217E+00
 1.18039E+00   9.4324E-01
 1.18080E+00   4.6570E-01
 1.18121E+00   2.7097E-01
 1.18163E+00   1.8410E-01
 1.18204E+00   1.3934E-01
 1.18245E+00   1.1104E-01
 1.18287E+00   9.1251E-02
 1.18328E+00   7.6607E-02
 1.18411E+00   5.5981E-02
 1.18494E+00   4.1965E-02
 1.18577E+00   3.2185E-02
 1.18701E+00   2.2231E-02
 1.18826E+00   1.6006E-02
 1.18868E+00   1.4665E-02
 1.18909E+00   1.6671E-02
 1.18951E+00   2.9238E-02
 1.18992E+00   7.9079E-02
 1.19034E+00   2.2446E-01
 1.19076E+00   5.3878E-01
 1.19159E+00   1.5558E+00
 1.19201E+00   1.8332E+00
 1.19242E+00   1.6910E+00
 1.19284E+00   1.2224E+00
 1.19326E+00   6.9843E-01
 1.19368E+00   3.2656E-01
 1.19409E+00   1.4568E-01
 1.19451E+00   1.0908E-01
 1.19493E+00   1.9641E-01
 1.19535E+00   5.0462E-01
 1.19577E+00   1.2633E+00
 1.19618E+00   2.7206E+00
 1.19702E+00   6.7837E+00
