**************************************************************************************************************************
**************************************************************************************************************************
 
Collision strengths (Omega[i,k]) for NIII. The collisional excitation rate
is defined by
 
           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).
 
	   We also use the same definition for the ionization collision strength.
	   For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.

 Reference: R.P. Stafford, K.L. Bell and A. Hibbert 1994, MNRAS,266 715
 
 [Reference] N\,{\sc iii} collision strengths for transitions amongst the first 20 levels are from \citep{SBH94_NIII_col}.

**************************************************************************************************************************
**************************************************************************************************************************
 
187                             !Number of transitions
20                              !Number of T values OMEGA tabulated at
1.0                             !Scaling factor for OMEGA (non-FILE values).
0.01                            !Value for OMEGA if f=0

2s2_2p_2Po[3/2]-2p3_4So[3/2]           0.07271     0.07461     0.06962     0.06427     0.05952     0.05036     0.04398     0.03932     0.03576     0.03296     0.03069     0.02723     0.02471     0.02278     0.02127     0.01993     0.01746     0.01630     0.01541     0.01347
2s2_2p_2Po[3/2]-2p3_2Do[5/2]           0.39359     0.39472     0.39114     0.38699     0.38298     0.37418     0.36698     0.36097     0.35584     0.35138     0.34745     0.34078     0.33527     0.33059     0.32655     0.32262     0.31441     0.30989     0.30604     0.29595
2s2_2p_2Po[3/2]-2p3_2Do[3/2]           0.18984     0.19283     0.19150     0.18937     0.18715     0.18203     0.17772     0.17410     0.17099     0.16829     0.16591     0.16188     0.15856     0.15576     0.15335     0.15102     0.14618     0.14356     0.14133     0.13560
2s2_2p_2Po[3/2]-2s2_3s_2Se[1/2]        0.77056     0.82273     0.81369     0.79155     0.76679     0.70855     0.65993     0.61973     0.58604     0.55733     0.53252     0.49160     0.45902     0.43229     0.40984     0.38868     0.34636     0.32424     0.30603     0.26097
2s2_2p_2Po[3/2]-2p3_2Po[1/2]           0.08331     0.10950     0.11888     0.12247     0.12358     0.12239     0.11958     0.11662     0.11387     0.11140     0.10921     0.10555     0.10265     0.10033     0.09845     0.09676     0.09375     0.09246     0.09160     0.09067
2s2_2p_2Po[3/2]-2p3_2Po[3/2]           0.15672     0.23399     0.26079     0.26895     0.26935     0.25908     0.24566     0.23320     0.22236     0.21306     0.20508     0.19224     0.18247     0.17486     0.16884     0.16352     0.15424     0.15031     0.14769     0.14463
2s2_2p_2Po[3/2]-2s2_3p_2Po[1/2]        0.33349     0.42934     0.45576     0.45990     0.45546     0.43332     0.40951     0.38813     0.36956     0.35349     0.33952     0.31647     0.29827     0.28352     0.27132     0.26002     0.23812     0.22717     0.21846     0.19854
2s2_2p_2Po[3/2]-2s2_3p_2Po[3/2]        0.95171     1.22679     1.31167     1.33439     1.33221     1.29138     1.24077     1.19345     1.15158     1.11497     1.08295     1.02996     0.98813     0.95440     0.92672     0.90135     0.85355     0.83073     0.81345     0.77924
2s2_2p_2Po[3/2]-2s2_3d_2De[3/2]        0.93474     0.57556     0.47308     0.42587     0.39942     0.36802     0.35554     0.35017     0.34810     0.34775     0.34837     0.35104     0.35451     0.35818     0.36179     0.36561     0.37431     0.37928     0.38349     0.39357
2s2_2p_2Po[3/2]-2s2_3d_2De[5/2]        3.08264     2.03751     1.70104     1.53517     1.43734     1.31261     1.25704     1.22934     1.21553     1.20955     1.20835     1.21417     1.22592     1.24061     1.25681     1.27566     1.32558     1.35950     1.39240     1.49867
2s_2p2_4Pe[1/2]-2s_2p2_4Pe[3/2]        0.86560     0.84675     0.85819     0.87363     0.88887     0.92168     0.94710     0.96687     0.98242     0.99476     1.00459     1.01865     1.02737     1.03237     1.03467     1.03492     1.02816     1.01965     1.00933     0.96686
2s_2p2_4Pe[1/2]-2s_2p2_4Pe[5/2]        0.57047     0.56272     0.57516     0.58983     0.60393     0.63425     0.65817     0.67726     0.69275     0.70546     0.71599     0.73213     0.74347     0.75141     0.75683     0.76064     0.76320     0.76097     0.75670     0.73336
2s_2p2_4Pe[1/2]-2s_2p2_2De[5/2]        0.29935     0.28367     0.27989     0.27878     0.27853     0.27888     0.27927     0.27940     0.27925     0.27888     0.27833     0.27684     0.27500     0.27294     0.27075     0.26822     0.26152     0.25691     0.25241     0.23776
2s_2p2_4Pe[1/2]-2s_2p2_2De[3/2]        0.45000     0.45099     0.45334     0.45518     0.45648     0.45802     0.45806     0.45725     0.45593     0.45429     0.45244     0.44841     0.44417     0.43987     0.43560     0.43093     0.41936     0.41186     0.40478     0.38279
2s_2p2_4Pe[1/2]-2s_2p2_2Se[1/2]        0.10062     0.09184     0.08920     0.08807     0.08750     0.08691     0.08666     0.08648     0.08628     0.08606     0.08580     0.08522     0.08456     0.08385     0.08311     0.08227     0.08007     0.07856     0.07709     0.07233
