
********************************************************************************

                 Dielectronic Transitions for OV (Singlets and Triplets).
                 LTDR transitions with ALPHA(DIE) < 1.00E-02 (*10^-12) ignored.

********************************************************************************

01-Sep-1989                                      !Date
918702.0000                                      !Ionization energy
5.0                                              !Screened nuclear charge
211                                              !Number of dielectronic transitions

  Transition            f           A          Lam(A)     Gu      v(exc)          a(10^4)   a(2x10^4)  a(3x10^4)

2p2p3Pe-2p6d3Do     4.646E-02   9.766E+09      137.98    15.0   5.9237E-01   #   8.831E-01  1.294E+00  1.131E+00    27
2p3p3De-2p6d3Do     8.226E-03   3.738E+08      383.13    15.0   5.9237E-01   #   3.380E-02  4.952E-02  4.329E-02    28
2p3p3Pe-2p6d3Do     4.257E-02   1.055E+09      401.84    15.0   5.9237E-01   #   9.540E-02  1.398E-01  1.222E-01    29
2p4p3De-2p6d3Do     1.324E-02   1.017E+08      931.75    15.0   5.9237E-01   #   9.197E-03  1.347E-02  1.178E-02    30
2p4p3Pe-2p6d3Do     9.673E-02   4.140E+08      967.00    15.0   5.9237E-01   #   3.744E-02  5.484E-02  4.795E-02    31
2s6d3De-2p6d3Do     7.956E-02   5.037E+08     1026.40    15.0   5.9237E-01   #   4.555E-02  6.673E-02  5.834E-02    32
2p5p3Pe-2p6d3Do     3.294E-01   1.842E+08     2675.37    15.0   5.9237E-01   #   1.666E-02  2.440E-02  2.133E-02    33
2p2p3Pe-2p6d3Po     1.523E-02   5.339E+09      137.94     9.0   5.9855E-01       2.812E-01  4.181E-01  3.674E-01    34
2s3d3De-2p6d3Po     1.922E-03   2.440E+08      295.94     9.0   5.9855E-01       1.285E-02  1.911E-02  1.679E-02    35
2p3p3Se-2p6d3Po     5.093E-02   7.348E+08      392.57     9.0   5.9855E-01       3.870E-02  5.755E-02  5.056E-02    36
2p3p3Pe-2p6d3Po     1.317E-02   5.451E+08      401.51     9.0   5.9855E-01       2.871E-02  4.269E-02  3.751E-02    37
2p4p3Se-2p6d3Po     7.841E-02   1.981E+08      938.11     9.0   5.9855E-01       1.043E-02  1.551E-02  1.363E-02    38
2p4p3Pe-2p6d3Po     2.769E-02   1.983E+08      965.08     9.0   5.9855E-01       1.045E-02  1.553E-02  1.364E-02    39
2s6d3De-2p6d3Po     5.243E-02   5.556E+08     1024.24     9.0   5.9855E-01       2.927E-02  4.351E-02  3.823E-02    40
2p5p3Se-2p6d3Po     3.921E-01   1.323E+08     2566.87     9.0   5.9855E-01       6.969E-03  1.036E-02  9.103E-03    41
2p3d3Fo-2p6f3Fe     6.027E-03   2.431E+08      406.66    21.0   6.0161E-01   #   2.944E-02  4.410E-02  3.884E-02    42
2p3d3Do-2p6f3Fe     4.775E-02   1.251E+09      426.45    21.0   6.0161E-01   #   1.515E-01  2.269E-01  1.999E-01    43
2p4d3Fo-2p6f3Fe     4.356E-02   3.010E+08      982.45    21.0   6.0161E-01   #   3.646E-02  5.460E-02  4.809E-02    44
2p4d3Do-2p6f3Fe     1.627E-01   7.374E+08     1025.25    21.0   6.0161E-01   #   8.931E-02  1.338E-01  1.178E-01    45
2s6f3Fo-2p6f3Fe     4.543E-02   2.795E+08     1041.20    21.0   6.0161E-01   #   3.385E-02  5.070E-02  4.465E-02    46
2p5d3Do-2p6f3Fe     7.168E-01   4.078E+08     2893.95    21.0   6.0161E-01   #   4.939E-02  7.397E-02  6.515E-02    47
2s6g3Ge-2p6g3Go     7.848E-02   5.101E+08     1013.02    27.0   6.0614E-01   #   7.772E-02  1.177E-01  1.040E-01    48
2p4f3Fe-2p6g3Go     1.736E-01   8.551E+08     1026.23    27.0   6.0614E-01   #   1.303E-01  1.973E-01  1.744E-01    49
2p5f3Fe-2p6g3Go     1.080E+00   6.494E+08     2937.73    27.0   6.0614E-01   #   9.895E-02  1.498E-01  1.324E-01    50
2s6h3Ho-2p6h3He     7.532E-02   4.694E+08     1034.57    33.0   6.0952E-01   #   8.601E-02  1.313E-01  1.164E-01    51
2p5g3Go-2p6h3He     1.604E+00   1.004E+09     2952.48    33.0   6.0952E-01   #   1.840E-01  2.808E-01  2.489E-01    52
2p5g3Ho-2p6h3He     5.296E-02   3.900E+07     3009.62    33.0   6.0952E-01   #   7.146E-03  1.091E-02  9.668E-03    53
2p3d3Fo-2p6f3Ge     4.917E-02   1.547E+09      406.07    27.0   6.1231E-01       2.288E-01  3.517E-01  3.124E-01    54
2p4d3Fo-2p6f3Ge     7.423E-02   4.018E+08      979.01    27.0   6.1231E-01       5.943E-02  9.133E-02  8.113E-02    55
2s6f3Fo-2p6f3Ge     1.729E-01   8.336E+08     1037.34    27.0   6.1231E-01       1.233E-01  1.895E-01  1.683E-01    56
2p5d3Fo-2p6f3Ge     6.189E-01   4.414E+08     2697.02    27.0   6.1231E-01       6.529E-02  1.003E-01  8.913E-02    57
2s6h3Ho-2p6h3Ie     7.100E-02   3.759E+08     1032.50    39.0   6.1534E-01       7.916E-02  1.225E-01  1.091E-01    58
2p5g3Ho-2p6h3Ie     1.634E+00   1.030E+09     2992.14    39.0   6.1534E-01       2.169E-01  3.357E-01  2.990E-01    59
