************************************************************************************************************************
 
                 Energy Levels and statistical weights for CaX
 
                    g        E(cm^-1)    10^15 Hz     eV       Lam(A)       ID      ARAD       GAM2        GAM4
************************************************************************************************************************
 
17-Oct-2000                                      !Format date
30-Mar-2002                                      !Date
79                                               !Number of energy levels
1704047.0000                                     !Ionization energy
10.0                                             !Screened nuclear charge
1941                                             !Number of transitions
 
26w_2W          1352.0   1687813.8918     0.48666    2.013    6.160E+03     -75   4.750E+07   0.000E+00   0.000E+00
27w_2W          1458.0   1688994.0766     0.45128    1.866    6.643E+03     -76   3.995E+07   0.000E+00   0.000E+00
28w_2W          1568.0   1690050.0853     0.41962    1.735    7.144E+03     -77   3.381E+07   0.000E+00   0.000E+00
29w_2W          1682.0   1690998.7466     0.39118    1.618    7.664E+03     -78   2.877E+07   0.000E+00   0.000E+00
30w_2W          1800.0   1691854.1321     0.36553    1.512    8.202E+03     -79   2.461E+07   0.000E+00   0.000E+00


********************************************************************************

                        Oscillator strengths for CaX       
             Wavelengths in air for lambda > 2000 Ang, else vacuum

********************************************************************************

  Transition                      f           A          Lam(A)      i-j    Trans. #

3s_2Se[1/2] -3p_2Po[1/2]     1.6649E-01  3.3705E+09     574.010       1-   2        1
3s_2Se[1/2] -3p_2Po[3/2]     3.4268E-01  3.6736E+09     557.765       1-   3        2
3s_2Se[1/2] -4p_2Po[1/2]     5.3351E-02  2.8780E+10     111.199       1-   7        3
3s_2Se[1/2] -4p_2Po[3/2]     1.0693E-01  2.8963E+10     110.963       1-   8        4
3s_2Se[1/2] -5p_2Po[1/2]     1.7781E-02  1.7274E+10      82.860       1-  14        5
3s_2Se[1/2] -5p_2Po[3/2]     3.5588E-02  1.7313E+10      82.798       1-  15        6
3s_2Se[1/2] -6p_2Po[1/2]     8.3852E-03  1.0442E+10      73.187       1-  22        7
3s_2Se[1/2] -6p_2Po[3/2]     1.6777E-02  1.0454E+10      73.159       1-  23        8
3s_2Se[1/2] -7p_2Po[1/2]     4.6953E-03  6.6752E+09      68.497       1-  30        9
3s_2Se[1/2] -7p_2Po[3/2]     9.3907E-03  6.6752E+09      68.497       1-  31       10
3s_2Se[1/2] -8p_2Po[1/2]     2.9174E-03  4.4913E+09      65.824       1-  38       11
3s_2Se[1/2] -8p_2Po[3/2]     5.8349E-03  4.4913E+09      65.824       1-  39       12
3s_2Se[1/2] -9p_2Po[1/2]     1.9448E-03  3.1539E+09      64.133       1-  46       13
3s_2Se[1/2] -9p_2Po[3/2]     3.8895E-03  3.1539E+09      64.133       1-  47       14
3s_2Se[1/2] -10p_2Po         4.0988E-03  2.2969E+09     -62.989       1-  54       15
3s_2Se[1/2] -11w_2W          2.9269E-03  4.1998E+07     -61.983       1-  60       16
3s_2Se[1/2] -12w_2W          2.1888E-03  2.6866E+07     -61.431       1-  61       17
3s_2Se[1/2] -13w_2W          1.6829E-03  1.7846E+07     -61.009       1-  62       18
3s_2Se[1/2] -14w_2W          1.3235E-03  1.2234E+07     -60.677       1-  63       19
3s_2Se[1/2] -15w_2W          1.0608E-03  8.6165E+06     -60.413       1-  64       20
3s_2Se[1/2] -16w_2W          8.6393E-04  6.2118E+06     -60.198       1-  65       21
3s_2Se[1/2] -17w_2W          7.1337E-04  4.5703E+06     -60.021       1-  66       22
3s_2Se[1/2] -18w_2W          5.9615E-04  3.4236E+06     -59.874       1-  67       23
