 
**************************************************************************************************
 
       Photoionization cross-sections for Mg I
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

         2  -  Hydrogenic (n,l)
         3  -  Hydrogenic (n)
        20  -  Opacity project

 [Reference] Photoioization cross-sections for Mg I are from \cite{BKM93_Mg_seq}.

**************************************************************************************************
 
24-May-1996                             !Date
3.2542D+00 2.262D-01
3.2704D+00 2.265D-01
3.3196D+00 2.276D-01
3.4033D+00 2.310D-01
3.4717D+00 2.340D-01
3.5949D+00 2.395D-01
3.6854D+00 2.434D-01
3.7039D+00 2.442D-01
3.7784D+00 2.474D-01
3.7972D+00 2.480D-01
3.8162D+00 2.482D-01
3.8352D+00 2.478D-01
3.8544D+00 2.466D-01
3.9515D+00 2.317D-01
4.2579D+00 1.851D-01
4.5880D+00 1.480D-01
4.9438D+00 1.183D-01
5.3271D+00 9.457D-02
5.7402D+00 7.558D-02
6.1852D+00 6.042D-02
6.6649D+00 4.829D-02
7.1816D+00 3.859D-02
7.7385D+00 3.085D-02
8.3385D+00 2.466D-02
8.9851D+00 1.971D-02
9.6817D+00 1.575D-02
1.0433D+01 1.259D-02
1.1241D+01 1.006D-02
1.2113D+01 8.043D-03
1.3052D+01 6.429D-03
1.4064D+01 5.139D-03
1.5155D+01 4.107D-03
1.6330D+01 3.283D-03
1.7596D+01 2.624D-03
1.7950D+01 2.471D-03

3s3p1Po                                 !Configuration name
20                                      !Type of cross-section
200                                     !Number of cross-section points
1.0000D+00 7.459D+01
1.0100D+00 7.500D+01
1.0151D+00 7.521D+01
1.0201D+00 7.542D+01
1.0252D+00 7.563D+01
1.0303D+00 7.584D+01
1.0355D+00 7.605D+01
1.0458D+00 7.648D+01
1.0510D+00 7.669D+01
1.0829D+00 7.789D+01
1.0883D+00 7.800D+01
1.0938D+00 7.805D+01
1.0992D+00 7.806D+01
1.1382D+00 7.773D+01
1.1439D+00 7.768D+01
1.1611D+00 7.752D+01
1.2023D+00 7.715D+01
1.2083D+00 7.715D+01
1.2143D+00 7.729D+01
1.2204D+00 7.780D+01
1.2265D+00 7.912D+01
1.2326D+00 8.243D+01
1.2387D+00 8.960D+01
1.2449D+00 1.043D+02
1.2637D+00 2.029D+02
1.2699D+00 2.285D+02
1.2763D+00 2.310D+02
1.2827D+00 2.076D+02
1.2891D+00 1.708D+02
1.3020D+00 1.071D+02
1.3085D+00 9.032D+01
1.3150D+00 8.059D+01
1.3215D+00 7.526D+01
1.3348D+00 6.962D+01
1.4672D+00 4.614D+01
1.4745D+00 4.509D+01
1.4893D+00 4.295D+01
1.5042D+00 4.080D+01
1.5192D+00 3.862D+01
1.6289D+00 2.496D+01
1.6370D+00 2.408D+01
1.7465D+00 1.254D+01
1.8174D+00 4.816D+00
1.8448D+00 2.022D+00
1.8540D+00 1.456D+00
1.8633D+00 1.188D+00
1.8726D+00 1.294D+00
1.8819D+00 1.742D+00
1.9102D+00 4.376D+00
1.9390D+00 6.667D+00
1.9486D+00 7.049D+00
1.9584D+00 7.250D+00
1.9681D+00 7.281D+00
1.9780D+00 7.182D+00
1.9978D+00 6.642D+00
2.0481D+00 3.457D+00
2.0584D+00 2.700D+00
2.0686D+00 2.210D+00
2.0790D+00 2.126D+00
2.0893D+00 2.515D+00
2.1102D+00 3.897D+00
2.1208D+00 4.372D+00
2.1313D+00 4.459D+00
2.1420D+00 4.194D+00
2.1634D+00 3.163D+00
2.1742D+00 2.853D+00
2.1851D+00 2.816D+00
2.1960D+00 2.953D+00
2.2069D+00 3.056D+00
2.2179D+00 3.023D+00
2.2290D+00 2.917D+00
2.2401D+00 2.826D+00
2.2625D+00 2.729D+00
2.2966D+00 2.456D+00
2.3081D+00 2.376D+00
2.3196D+00 2.338D+00
2.3311D+00 2.338D+00
2.3428D+00 2.349D+00
2.3545D+00 2.346D+00
2.4501D+00 2.005D+00
2.5752D+00 1.560D+00
2.6533D+00 1.255D+00
2.7202D+00 9.816D-01
2.7749D+00 7.650D-01
2.8307D+00 5.935D-01
2.8877D+00 6.721D-01
2.9311D+00 7.195D-01
3.0351D+00 6.487D-01
3.0807D+00 6.079D-01
3.1741D+00 4.788D-01
3.2867D+00 3.234D-01
3.3362D+00 3.552D-01
3.3695D+00 3.703D-01
3.4033D+00 3.419D-01
3.4891D+00 3.027D-01
3.5415D+00 2.884D-01
3.7223D+00 2.483D-01
3.7972D+00 2.332D-01
3.8736D+00 2.216D-01
3.9515D+00 2.062D-01
3.9910D+00 1.993D-01
4.0511D+00 2.099D-01
4.1740D+00 2.230D-01
4.2579D+00 2.086D-01
4.3005D+00 2.053D-01
4.3219D+00 2.065D-01
4.3652D+00 2.078D-01
4.4976D+00 2.055D-01
4.5426D+00 2.046D-01
4.6110D+00 2.050D-01
4.7508D+00 2.064D-01
4.9438D+00 2.082D-01
4.9684D+00 2.084D-01
5.0182D+00 2.089D-01
5.0433D+00 2.092D-01
5.0684D+00 2.094D-01
5.0937D+00 2.096D-01
5.1191D+00 2.099D-01
5.1962D+00 2.106D-01
5.2221D+00 2.108D-01
5.2482D+00 2.111D-01
5.2743D+00 2.113D-01
5.3007D+00 2.116D-01
5.3804D+00 2.123D-01
5.4073D+00 2.126D-01
5.4342D+00 2.128D-01
5.4614D+00 2.131D-01
5.4886D+00 2.134D-01
5.5161D+00 2.136D-01
5.5436D+00 2.139D-01
5.5713D+00 2.141D-01
5.5990D+00 2.144D-01
5.6551D+00 2.149D-01
5.6834D+00 2.152D-01
5.7116D+00 2.155D-01
5.7402D+00 2.157D-01
5.7977D+00 2.163D-01
5.8265D+00 2.166D-01
5.8557D+00 2.168D-01
5.8848D+00 2.171D-01
5.9437D+00 2.177D-01
6.0032D+00 2.182D-01
6.0332D+00 2.185D-01
6.0936D+00 2.191D-01
6.1546D+00 2.197D-01
6.1852D+00 2.199D-01
6.2784D+00 2.208D-01
6.3096D+00 2.211D-01
6.5335D+00 2.227D-01
6.8328D+00 2.207D-01
6.8670D+00 2.205D-01
7.1816D+00 2.179D-01
7.2535D+00 2.173D-01
7.2898D+00 2.170D-01
7.3627D+00 2.164D-01
7.3994D+00 2.161D-01
7.4364D+00 2.158D-01
7.4734D+00 2.155D-01
7.5108D+00 2.152D-01
7.5482D+00 2.149D-01
7.6237D+00 2.143D-01
7.6619D+00 2.140D-01
7.7000D+00 2.137D-01
7.7385D+00 2.134D-01
7.7771D+00 2.131D-01
7.8160D+00 2.128D-01
7.8942D+00 2.121D-01
7.9335D+00 2.118D-01
7.9732D+00 2.115D-01
8.0129D+00 2.112D-01
8.0530D+00 2.108D-01
8.1336D+00 2.102D-01
8.2150D+00 2.095D-01
8.2559D+00 2.092D-01
8.2972D+00 2.089D-01
8.3385D+00 2.085D-01
8.3802D+00 2.082D-01
8.4219D+00 2.078D-01
8.4641D+00 2.075D-01
8.5488D+00 2.068D-01
8.5913D+00 2.065D-01
8.7207D+00 2.054D-01
8.9404D+00 2.036D-01
9.5383D+00 1.863D-01
1.0484D+01 1.403D-01
1.1525D+01 1.056D-01
1.2668D+01 7.955D-02
1.3925D+01 5.989D-02
1.5306D+01 4.510D-02
1.6825D+01 3.396D-02
1.8494D+01 2.557D-02
2.0329D+01 1.925D-02
2.2346D+01 1.449D-02
2.4563D+01 1.091D-02
2.7000D+01 8.216D-03
2.9679D+01 6.186D-03
3.2623D+01 4.659D-03
3.5860D+01 3.507D-03
3.9417D+01 2.641D-03
4.1844D+01 2.207D-03

3s4s3Se                                 !Configuration name
20                                      !Type of cross-section
119                                     !Number of cross-section points
1.0000D+00 4.562D-01
1.3215D+00 1.149D-03
1.4383D+00 9.228D-02
1.5653D+00 6.092D-01
1.5889D+00 8.563D-01
1.6128D+00 1.247D+00
1.6370D+00 1.933D+00
1.6534D+00 2.768D+00
1.6700D+00 4.392D+00
1.6783D+00 6.059D+00
1.6867D+00 9.421D+00
1.6951D+00 1.784D+01
1.7036D+00 3.813D+01
1.7120D+00 8.473D+01
1.7292D+00 2.792D+02
1.7378D+00 3.864D+02
1.7465D+00 4.340D+02
1.7552D+00 3.981D+02
1.7728D+00 1.802D+02
1.7816D+00 9.324D+01
1.7905D+00 4.162D+01
1.7994D+00 1.840D+01
1.8084D+00 8.591D+00
1.8174D+00 4.925D+00
1.8265D+00 3.243D+00
1.8356D+00 2.383D+00
1.8540D+00 1.446D+00
1.8819D+00 7.817D-01
2.0278D+00 5.180D-02
2.0584D+00 4.371D-01
2.0790D+00 1.416D+00
2.0893D+00 1.793D+00
2.0998D+00 1.828D+00
2.1208D+00 1.016D+00
2.2179D+00 4.319D-02
2.2513D+00 8.662D-02
2.2739D+00 1.158D-01
2.2966D+00 7.427D-02
2.3428D+00 1.900D-02
2.3663D+00 3.000D-02
2.3899D+00 3.631D-02
2.4018D+00 3.162D-02
2.4139D+00 2.732D-02
2.4501D+00 4.960D-02
2.4624D+00 5.304D-02
2.4870D+00 3.339D-02
2.5119D+00 1.823D-02
2.5371D+00 2.424D-02
2.5625D+00 2.934D-02
2.5881D+00 2.438D-02
2.6010D+00 2.317D-02
2.6270D+00 2.457D-02
2.6533D+00 2.611D-02
2.6799D+00 2.565D-02
2.6933D+00 2.565D-02
2.7338D+00 3.010D-02
2.8307D+00 3.958D-02
2.9021D+00 4.582D-02
2.9166D+00 4.710D-02
2.9752D+00 5.229D-02
2.9901D+00 5.361D-02
3.0050D+00 5.493D-02
3.0200D+00 5.626D-02
3.0351D+00 5.760D-02
3.2704D+00 7.090D-02
3.3031D+00 7.040D-02
3.4033D+00 1.486D-01
3.4373D+00 1.700D-01
3.4717D+00 1.372D-01
3.7039D+00 8.161D-02
3.7409D+00 8.326D-02
3.7784D+00 8.450D-02
3.8162D+00 8.147D-02
3.8736D+00 7.840D-02
3.9123D+00 8.127D-02
3.9319D+00 8.288D-02
3.9910D+00 7.558D-02
4.0310D+00 6.999D-02
4.1120D+00 8.048D-02
4.1532D+00 8.335D-02
4.1740D+00 8.297D-02
4.2367D+00 8.830D-02
4.2579D+00 9.054D-02
4.3652D+00 1.068D-01
4.4753D+00 1.209D-01
4.5201D+00 1.180D-01
4.5426D+00 1.173D-01
4.6339D+00 1.319D-01
4.7744D+00 1.532D-01
4.9438D+00 1.885D-01
5.0182D+00 1.983D-01
5.0684D+00 1.942D-01
5.0937D+00 1.933D-01
5.1962D+00 2.088D-01
5.3007D+00 2.176D-01
5.3538D+00 2.189D-01
5.4614D+00 2.207D-01
5.5161D+00 2.213D-01
5.5713D+00 2.216D-01
6.0633D+00 2.121D-01
6.2162D+00 1.998D-01
6.7651D+00 1.550D-01
7.3627D+00 1.203D-01
8.0129D+00 9.331D-02
8.7207D+00 7.239D-02
9.4908D+00 5.615D-02
1.0329D+01 4.356D-02
1.1241D+01 3.379D-02
1.2234D+01 2.621D-02
1.3315D+01 2.034D-02
1.4491D+01 1.577D-02
1.5770D+01 1.224D-02
1.7164D+01 9.495D-03
1.8679D+01 7.366D-03
2.0329D+01 5.714D-03
2.2124D+01 4.433D-03
2.4079D+01 3.439D-03
2.6205D+01 2.668D-03
2.8378D+01 2.101D-03

3s4s1Se                                 !Configuration name
20                                      !Type of cross-section
107                                     !Number of cross-section points
1.0000D+00 3.957D-01
1.1382D+00 1.442D+00
1.2449D+00 2.828D+00
1.3616D+00 5.330D+00
1.4893D+00 1.028D+01
1.5653D+00 1.537D+01
1.6452D+00 2.473D+01
1.6951D+00 3.486D+01
1.7465D+00 5.280D+01
1.8084D+00 9.728D+01
1.8633D+00 1.724D+02
1.9008D+00 2.222D+02
1.9102D+00 2.272D+02
1.9198D+00 2.275D+02
1.9293D+00 2.226D+02
1.9780D+00 1.508D+02
2.0178D+00 9.020D+01
2.0481D+00 6.087D+01
2.0790D+00 4.189D+01
2.1102D+00 2.975D+01
2.1742D+00 1.626D+01
2.2179D+00 1.145D+01
2.2401D+00 9.782D+00
2.2513D+00 9.118D+00
2.2625D+00 8.679D+00
2.2739D+00 8.772D+00
2.2852D+00 1.033D+01
2.2966D+00 1.448D+01
2.3196D+00 3.063D+01
2.3311D+00 3.583D+01
2.3428D+00 3.425D+01
2.3663D+00 1.623D+01
2.4380D+00 8.509D-01
2.4747D+00 1.615D+00
2.5119D+00 2.067D+00
2.5497D+00 1.778D+00
2.5752D+00 1.572D+00
2.6140D+00 1.008D+00
2.6402D+00 7.236D-01
2.6666D+00 8.682D-01
2.6933D+00 9.461D-01
2.7202D+00 7.645D-01
2.7611D+00 6.297D-01
2.7749D+00 6.411D-01
2.8307D+00 5.333D-01
2.9604D+00 3.172D-01
2.9901D+00 2.859D-01
3.2704D+00 9.942D-02
3.5770D+00 3.602D-02
3.7409D+00 2.611D-02
3.8736D+00 2.066D-01
3.9319D+00 3.114D-01
3.9713D+00 2.377D-01
4.0713D+00 1.126D-01
4.1532D+00 1.446D-01
4.1740D+00 1.547D-01
4.2579D+00 8.759D-02
4.3219D+00 4.595D-02
4.3652D+00 5.792D-02
4.3870D+00 6.338D-02
4.4530D+00 4.788D-02
4.5426D+00 3.673D-02
4.7271D+00 1.410D-01
4.7744D+00 1.733D-01
4.8705D+00 1.092D-01
4.9684D+00 6.929D-02
5.0433D+00 9.716D-02
5.0684D+00 1.029D-01
5.1191D+00 9.681D-02
5.1447D+00 9.311D-02
5.1962D+00 9.547D-02
5.2743D+00 9.978D-02
5.3538D+00 1.039D-01
5.3804D+00 1.054D-01
5.5436D+00 1.978D-01
5.5990D+00 2.165D-01
5.6551D+00 1.868D-01
5.6834D+00 1.760D-01
5.7688D+00 1.961D-01
5.7977D+00 2.014D-01
5.8557D+00 2.003D-01
5.9735D+00 2.153D-01
6.1852D+00 2.345D-01
6.2471D+00 2.341D-01
6.4366D+00 2.328D-01
6.6981D+00 2.312D-01
6.7651D+00 2.308D-01
6.7990D+00 2.306D-01
7.0051D+00 2.294D-01
7.4734D+00 2.126D-01
8.1741D+00 1.625D-01
8.9404D+00 1.242D-01
9.7786D+00 9.492D-02
1.0695D+01 7.254D-02
1.1698D+01 5.544D-02
1.2795D+01 4.237D-02
1.3994D+01 3.238D-02
1.5306D+01 2.475D-02
1.6741D+01 1.892D-02
1.8311D+01 1.446D-02
2.0028D+01 1.105D-02
2.1905D+01 8.443D-03
2.3959D+01 6.452D-03
2.6205D+01 4.932D-03
2.8662D+01 3.769D-03
3.1349D+01 2.881D-03
3.3948D+01 2.268D-03

3s3d1De                                 !Configuration name
20                                      !Type of cross-section
156                                     !Number of cross-section points
1.0000D+00 3.145D+01
1.0151D+00 3.037D+01
1.0303D+00 2.928D+01
1.0355D+00 2.891D+01
1.0406D+00 2.854D+01
1.1326D+00 2.330D+01
1.1553D+00 2.222D+01
1.1669D+00 2.167D+01
1.1786D+00 2.112D+01
1.2827D+00 1.721D+01
1.3150D+00 1.619D+01
1.3348D+00 1.558D+01
1.3414D+00 1.537D+01
1.4599D+00 1.243D+01
1.4893D+00 1.183D+01
1.5117D+00 1.137D+01
1.5192D+00 1.122D+01
1.5810D+00 1.005D+01
1.6534D+00 9.142D+00
1.6700D+00 8.942D+00
1.6783D+00 8.841D+00
1.6867D+00 8.739D+00
1.7552D+00 8.005D+00
1.8448D+00 7.682D+00
1.8540D+00 7.685D+00
1.8633D+00 7.709D+00
1.9102D+00 8.072D+00
1.9486D+00 8.706D+00
2.0077D+00 1.038D+01
2.0380D+00 1.123D+01
2.0481D+00 1.138D+01
2.0584D+00 1.141D+01
2.0686D+00 1.129D+01
2.0790D+00 1.102D+01
2.1420D+00 7.243D+00
2.1851D+00 4.694D+00
2.2179D+00 3.398D+00
2.3081D+00 1.412D+00
2.3780D+00 4.940D-01
2.4259D+00 1.427D-01
2.4501D+00 3.021D-01
2.4624D+00 6.413D-01
2.4747D+00 1.496D+00
2.4870D+00 3.525D+00
2.4994D+00 9.060D+00
2.5119D+00 2.259D+01
2.5244D+00 5.232D+01
2.5497D+00 1.608D+02
2.5625D+00 2.062D+02
2.5752D+00 2.114D+02
2.5881D+00 1.775D+02
2.6010D+00 1.245D+02
2.6140D+00 7.670D+01
2.6270D+00 4.593D+01
2.6402D+00 2.881D+01
2.6533D+00 2.049D+01
2.6666D+00 1.592D+01
2.6933D+00 1.128D+01
2.7202D+00 8.766D+00
2.7749D+00 5.758D+00
2.8166D+00 4.120D+00
2.8307D+00 3.894D+00
2.8448D+00 4.174D+00
2.8733D+00 6.313D+00
2.8877D+00 7.445D+00
2.9021D+00 7.924D+00
2.9166D+00 7.712D+00
2.9458D+00 6.192D+00
2.9752D+00 4.777D+00
2.9901D+00 4.326D+00
3.0050D+00 4.094D+00
3.0200D+00 4.098D+00
3.0502D+00 4.411D+00
3.0655D+00 4.531D+00
3.1115D+00 4.741D+00
3.1271D+00 4.745D+00
3.1427D+00 4.661D+00
3.1900D+00 3.931D+00
3.2219D+00 3.424D+00
3.2380D+00 3.327D+00
3.2542D+00 3.321D+00
3.2704D+00 3.363D+00
3.2867D+00 3.399D+00
3.3031D+00 3.400D+00
3.4033D+00 3.069D+00
3.6489D+00 2.329D+00
3.6672D+00 2.285D+00
3.8162D+00 1.944D+00
3.9515D+00 1.739D+00
3.9713D+00 1.711D+00
4.3652D+00 1.280D+00
4.3870D+00 1.274D+00
4.4089D+00 1.285D+00
4.4309D+00 1.328D+00
4.4753D+00 1.519D+00
4.4976D+00 1.579D+00
4.5201D+00 1.533D+00
4.5653D+00 1.139D+00
4.5880D+00 9.397D-01
4.6110D+00 8.069D-01
4.6339D+00 7.477D-01
4.6571D+00 7.364D-01
4.6803D+00 7.555D-01
4.7271D+00 8.207D-01
4.7508D+00 8.457D-01
