**************************************************************************************************************************
**************************************************************************************************************************

Collision strengths (Omega[i,k]) for OIII. The collisional excitation rate
is defined by

           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).

We also use the same definition for the ionization collision strength.
For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.

 Collision rates for the lowest 3 states are from Keith Butler (2012)
 Values in Butler which are 0. set to 1.d-4

 [Reference] O\,{\sc iii} collision strengths (Keith Butler, private communication, 2012)

**************************************************************************************************************************
**************************************************************************************************************************

1224                            !Number of transitions
10                              !Number of T values OMEGA tabulated at
1.0                             !Scaling factor for OMEGA (non-FILE values).
0.01                            !Value for OMEGA if f=0

Transition\T                                0.180     0.450     0.900     1.800     4.500     9.000    18.000    45.000    90.000   180.000

2s2_2p2_3Pe-2s_2p2(4Pe)3d_5Fe              0.3840    0.3620    0.3400    0.3200    0.2990    0.2830    0.2610    0.2270    0.1970    0.1520
2s2_2p2_3Pe-2s_2p2(4Pe)3d_5De              0.2290    0.2050    0.1970    0.1960    0.1950    0.1930    0.1800    0.1500    0.1280    0.0990
2s2_2p2_3Pe-2s_2p2(2De)3s_3De              0.2580    0.2300    0.2210    0.2130    0.1780    0.1390    0.1060    0.0830    0.0700    0.0550
2s2_2p2_3Pe-2s_2p2(4Pe)3d_5Pe              0.1380    0.1300    0.1290    0.1300    0.1270    0.1210    0.1090    0.0900    0.0760    0.0590
2s2_2p2_3Pe-2s_2p2(4Pe)3d_3Pe              0.1500    0.1450    0.1410    0.1390    0.1340    0.1370    0.1500    0.1980    0.2550    0.3110
2s2_2p2_3Pe-2s_2p2(4Pe)3d_3Fe              0.2390    0.2380    0.2380    0.2410    0.2480    0.2650    0.3070    0.4310    0.5760    0.7280
2s2_2p2_3Pe-2s_2p2(4Pe)3d_3De              0.1740    0.1750    0.1790    0.1820    0.1830    0.1930    0.2220    0.3060    0.4030    0.5020
2s2_2p2_3Pe-2s_2p2(2De)3s_1De              0.0850    0.0930    0.0900    0.0830    0.0690    0.0590    0.0510    0.0430    0.0360    0.0260
2s2_2p2_1De-2s2_2p2_1Se                    0.5750    0.8030    0.8170    0.7140    0.6090    0.5970    0.5770    0.5230    0.5070    0.5200
2s2_2p2_1De-2s_2p3_5So                     0.0001    0.0001    0.0001    0.0001    0.0010    0.0020    0.0020    0.0010    0.0010    0.0010
