********************************************************************************
                                                                                
                 Super level assignments for C2
                 E%LS option with /\E=1%, then cleaned by hand.
                                                                                
                              g        E(cm^-1)    10^15 Hz     eV       Lam(A) 
********************************************************************************
                                                                                
18-Jul-2001                            !Date
338                                    !Number of energy levels
6                                      !Entry number of link to super level
 
2s_2p(3Po)3d_4Fo[9/2]        10.0     195813.6600     0.0255   1.175E+05    48     0    118
2s2_23w_2W                 1058.0     195834.9662     0.0249   1.205E+05    47     0    119
2s2_24w_2W                 1152.0     195902.6702     0.0228   1.312E+05    47     0    120
2s2_25w_2W                 1250.0     195962.4133     0.0211   1.424E+05    47     0    121
2s2_26w_2W                 1352.0     196015.3965     0.0195   1.540E+05    49     0    122
2s2_27w_2W                 1458.0     196062.6024     0.0181   1.661E+05    49     0    123
2s2_28w_2W                 1568.0     196104.8413     0.0168   1.786E+05    49     0    124
2s2_29w_2W                 1682.0     196142.7866     0.0156   1.916E+05    49     0    125
2s2_30w_2W                 1800.0     196177.0009     0.0146   2.050E+05    49     0    126
2s_2p(3Po)3d_4Do[1/2]         2.0     196557.8700     0.0032   9.361E+05    50     0    127
2s_2p(3Po)3d_4Do[3/2]         4.0     196563.4100     0.0030   9.873E+05    50     0    128
2s_2p(3Po)3d_4Do[5/2]         6.0     196571.8200     0.0028   1.077E+06    50     0    129
2s_2p(3Po)3d_4Do[7/2]         8.0     196581.9600     0.0025   1.209E+06    50     0    130
2s_2p(3Po)3d_2Do[3/2]         4.0     198425.4300    -0.0528  -5.679E+04    51     0    131
2s_2p(3Po)3d_2Do[5/2]         6.0     198436.3100    -0.0531  -5.645E+04    51     0    132
2s_2p(3Po)3d_4Po[5/2]         6.0     198844.0000    -0.0653  -4.589E+04    52     0    133
2s_2p(3Po)3d_4Po[3/2]         4.0     198865.2500    -0.0660  -4.544E+04    52     0    134
2s_2p(3Po)3d_4Po[1/2]         2.0     198879.0100    -0.0664  -4.516E+04    52     0    135
2s_2p(3Po)4s_4Po[1/2]         2.0     209552.3600    -0.3864  -7.759E+03    53     0    136
2s_2p(3Po)4s_4Po[3/2]         4.0     209576.4600    -0.3871  -7.745E+03    53     0    137
2s_2p(3Po)4s_4Po[5/2]         6.0     209622.3200    -0.3885  -7.717E+03    53     0    138
2s_2p(3Po)4p_2Pe[1/2]         2.0     214404.3300    -0.5318  -5.637E+03    54     0    139
