********************************************************************************

            Dielectronic Transitions for NIIIDOUB  
            LTDR transitions with ALPHA(DIE) < 1.00E-02 (*10^-12) ignored
	    Core configurations are:
                                   2s^2
	                           2s2p (3Po)
                                   2s2p (1Po) : Denoted by '
                                   2p^2 (3Pe) : Denoted by ''
                                   2p^2 (1De) : Denoted by '''
                                   2p^2 (1Se) : Denoted by *
	    Some of the '', ''' levels may be incorrectly identified.

********************************************************************************

01-Sep-1989                                      !Date
382587.0000                                      !Ionization energy
3.0                                              !Screened nuclear charge
132                                              !Number of dielectronic transitions

  Transition                      f           A          Lam(A)     Gu      v(exc)          a(10^4)   a(2x10^4)  a(3x10^4)

2p2p2p2Do   -2p2p3s''2Pe      2.489E-02   1.282E+09      464.58     6.0   1.0679E+00   #   9.464E-03  4.340E-02  5.551E-02    80
2p2p2p2Po   -2p2p3s''2Pe      9.794E-02   2.307E+09      532.14     6.0   1.0679E+00   #   1.703E-02  7.810E-02  9.989E-02    81
2s2p3s2Po   -2p2p3s''2Pe      1.618E-01   1.583E+09      825.76     6.0   1.0679E+00   #   1.169E-02  5.359E-02  6.854E-02    82
2p2p2p2Do   -2p2p3s''2De      8.293E-02   2.601E+09      461.16    10.0   1.1157E+00       2.544E-02  1.309E-01  1.739E-01    83
2p2p2p2Po   -2p2p3s''2De      5.266E-02   7.569E+08      527.66    10.0   1.1157E+00       7.404E-03  3.808E-02  5.060E-02    84
2s2s3p2Po   -2p2p3s''2De      2.196E-02   2.668E+08      573.94    10.0   1.1157E+00       2.610E-03  1.342E-02  1.784E-02    85
2s2p3s'2Po  -2p2p3s''2De      3.012E-01   5.328E+08     1504.26    10.0   1.1157E+00       5.212E-03  2.681E-02  3.562E-02    86
2s2p2p2De   -2s2p4d'2Po       1.009E-02   1.188E+09      307.35     6.0   1.3093E+00       2.753E-03  2.253E-02  3.496E-02    87
2s2p2p2Pe   -2s2p4d'2Po       4.169E-02   2.187E+09      356.59     6.0   1.3093E+00       5.068E-03  4.148E-02  6.435E-02    88
2s2p3p2De   -2s2p4d'2Po       4.904E-02   6.051E+08      949.23     6.0   1.3093E+00       1.402E-03  1.148E-02  1.781E-02    89
2s2p3p2Se   -2s2p4d'2Po       1.560E-01   3.422E+08     1006.83     6.0   1.3093E+00       7.930E-04  6.491E-03  1.007E-02    90
2s2p2p2De   -2p2p3p''2Do      5.040E-03   3.591E+08      305.96    10.0   1.3538E+00   #   1.120E-03  1.020E-02  1.640E-02    91
2s2p2p2Pe   -2p2p3p''2Do      6.332E-02   2.014E+09      354.71    10.0   1.3538E+00   #   6.284E-03  5.722E-02  9.199E-02    92
2s2p3p2De   -2p2p3p''2Do      1.809E-01   1.377E+09      936.05    10.0   1.3538E+00   #   4.296E-03  3.912E-02  6.289E-02    93
2s2p4p2Pe   -2p2p3p''2Do      3.029E-01   3.415E+08     1884.08    10.0   1.3538E+00   #   1.065E-03  9.703E-03  1.560E-02    94
2s2p2p2De   -2s2p4s'2Po       5.569E-03   6.786E+08      302.04     6.0   1.4810E+00       6.899E-04  8.525E-03  1.517E-02    95
