 
******************************************************************************
 
       Photoionization cross-sections for S VI
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width  500 km/sec
 
          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
29-Jan-2003                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
2s2_2p6_1Se                             !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
500.0                                   !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
1113                                    !Total number of data pairs
 
3s_2Se                                  !Configuration name
1.66449E+01 3.980E-03
1.83646E+01 3.375E-03
2.00770E+01 2.902E-03
2.21513E+01 2.460E-03
2.43383E+01 2.099E-03
2.67411E+01 1.792E-03
2.92591E+01 1.539E-03
3.21478E+01 1.313E-03
3.53217E+01 1.120E-03
3.87766E+01 9.571E-04
4.27828E+01 8.114E-04
4.70067E+01 6.924E-04
5.14328E+01 5.947E-04
5.65107E+01 5.074E-04
6.23491E+01 4.302E-04
6.82199E+01 3.695E-04
7.48927E+01 3.163E-04
5p_2Po                                  !Configuration name
20                                      !Type of cross-section
42                                      !Number of cross-section points
1.00000E+00 6.474E-01
1.21325E+00 4.915E-01
1.42373E+00 3.877E-01
1.63493E+00 3.138E-01
1.84642E+00 2.590E-01
2.05937E+00 2.170E-01
2.27024E+00 1.844E-01
2.67967E+00 1.385E-01
2.95899E+00 1.172E-01
3.24301E+00 1.005E-01
3.57508E+00 8.530E-02
3.93131E+00 7.273E-02
4.31944E+00 6.208E-02
4.74590E+00 5.299E-02
5.21445E+00 4.524E-02
5.72926E+00 3.862E-02
6.27396E+00 3.314E-02
6.89338E+00 2.829E-02
7.57394E+00 2.415E-02
8.32171E+00 2.061E-02
9.14329E+00 1.760E-02
1.00460E+01 1.502E-02
1.10378E+01 1.282E-02
1.21276E+01 1.094E-02
1.33249E+01 9.344E-03
1.46404E+01 7.977E-03
1.61530E+01 6.765E-03
1.76740E+01 5.812E-03
1.95000E+01 4.930E-03
2.14252E+01 4.208E-03
2.35405E+01 3.592E-03
2.57785E+01 3.082E-03
2.83236E+01 2.631E-03
3.11199E+01 2.246E-03
3.41923E+01 1.917E-03
3.76935E+01 1.628E-03
4.12771E+01 1.398E-03
4.53523E+01 1.193E-03
4.98299E+01 1.019E-03
5.49781E+01 8.635E-04
6.02049E+01 7.409E-04
6.60938E+01 6.345E-04
5d_2De                                  !Configuration name
20                                      !Type of cross-section
34                                      !Number of cross-section points
1.00000E+00 1.743E+00
1.24086E+00 1.059E+00
1.48430E+00 6.872E-01
1.72591E+00 4.714E-01
1.96712E+00 3.367E-01
2.20499E+00 2.492E-01
2.44499E+00 1.888E-01
2.68638E+00 1.458E-01
2.92711E+00 1.149E-01
3.11846E+00 9.683E-02
3.32232E+00 8.159E-02
3.53951E+00 6.874E-02
3.77090E+00 5.792E-02
4.01741E+00 4.881E-02
4.27647E+00 4.123E-02
4.55603E+00 3.474E-02
4.85387E+00 2.927E-02
5.18844E+00 2.446E-02
5.50923E+00 2.079E-02
5.88408E+00 1.740E-02
6.27396E+00 1.463E-02
6.68410E+00 1.233E-02
7.09145E+00 1.050E-02
7.55504E+00 8.849E-03
8.04893E+00 7.457E-03
8.57511E+00 6.283E-03
9.13568E+00 5.294E-03
9.76540E+00 4.424E-03
1.03951E+01 3.735E-03
1.10378E+01 3.175E-03
1.17594E+01 2.675E-03
1.25804E+01 2.230E-03
1.33471E+01 1.899E-03
1.42197E+01 1.608E-03
5f_2Fo                                  !Configuration name
20                                      !Type of cross-section
28                                      !Number of cross-section points
1.00000E+00 4.644E-02
1.24916E+00 2.397E-02
1.49922E+00 1.362E-02
1.74908E+00 8.330E-03
1.99851E+00 5.377E-03
2.24765E+00 3.616E-03
2.49645E+00 2.513E-03
2.74750E+00 1.789E-03
2.99870E+00 1.304E-03
3.15242E+00 1.095E-03
3.32509E+00 9.092E-04
3.48682E+00 7.698E-04
3.67781E+00 6.394E-04
3.86957E+00 5.355E-04
4.07133E+00 4.485E-04
4.28360E+00 3.756E-04
4.48821E+00 3.189E-04
4.72223E+00 2.670E-04
4.96431E+00 2.243E-04
5.22315E+00 1.878E-04
5.49090E+00 1.577E-04
5.79649E+00 1.306E-04
6.09871E+00 1.094E-04
6.39002E+00 9.289E-05
6.72320E+00 7.779E-05
7.09145E+00 6.461E-05
7.43637E+00 5.471E-05
7.81759E+00 4.612E-05
6s_2Se                                  !Configuration name
20                                      !Type of cross-section
40                                      !Number of cross-section points
1.00000E+00 5.354E-01
1.29042E+00 3.553E-01
1.58002E+00 2.535E-01
1.87120E+00 1.902E-01
2.16133E+00 1.485E-01
2.45520E+00 1.191E-01
2.74750E+00 9.791E-02
3.03894E+00 8.207E-02
3.33341E+00 6.977E-02
3.65337E+00 5.946E-02
4.00404E+00 5.069E-02
4.38837E+00 4.320E-02
4.80959E+00 3.681E-02
5.27124E+00 3.138E-02
5.74839E+00 2.696E-02
6.30015E+00 2.298E-02
6.90487E+00 1.958E-02
7.56133E+00 1.671E-02
8.28711E+00 1.424E-02
9.08255E+00 1.214E-02
9.94605E+00 1.036E-02
1.09007E+01 8.830E-03
1.19470E+01 7.526E-03
1.30938E+01 6.414E-03
1.43985E+01 5.437E-03
1.57149E+01 4.666E-03
1.72808E+01 3.955E-03
1.89553E+01 3.366E-03
2.07574E+01 2.873E-03
2.26553E+01 2.465E-03
2.48298E+01 2.101E-03
2.71905E+01 1.793E-03
2.98004E+01 1.528E-03
3.27698E+01 1.296E-03
3.59452E+01 1.103E-03
3.91989E+01 9.474E-04
4.29614E+01 8.074E-04
4.72816E+01 6.835E-04
5.16045E+01 5.864E-04
5.65107E+01 5.017E-04
6p_2Po                                  !Configuration name
20                                      !Type of cross-section
40                                      !Number of cross-section points
1.00000E+00 7.778E-01
1.31319E+00 5.091E-01
1.62542E+00 3.630E-01
1.93784E+00 2.734E-01
2.25140E+00 2.137E-01
2.57033E+00 1.712E-01
2.88354E+00 1.407E-01
3.20273E+00 1.173E-01
3.51307E+00 9.953E-02
3.85669E+00 8.480E-02
4.23392E+00 7.226E-02
4.64419E+00 6.164E-02
5.09420E+00 5.259E-02
5.58783E+00 4.487E-02
6.10380E+00 3.853E-02
6.70083E+00 3.283E-02
7.35013E+00 2.801E-02
8.06235E+00 2.389E-02
8.84358E+00 2.039E-02
9.70052E+00 1.739E-02
1.06405E+01 1.484E-02
1.16715E+01 1.266E-02
1.28025E+01 1.080E-02
1.40430E+01 9.215E-03
1.54681E+01 7.809E-03
1.69105E+01 6.698E-03
1.86110E+01 5.684E-03
2.04314E+01 4.843E-03
2.24112E+01 4.131E-03
2.44806E+01 3.548E-03
2.68528E+01 3.028E-03
2.94548E+01 2.583E-03
3.23089E+01 2.203E-03
3.55875E+01 1.867E-03
3.91010E+01 1.589E-03
4.26760E+01 1.366E-03
4.68112E+01 1.165E-03
5.13472E+01 9.945E-04
5.63227E+01 8.484E-04
6.18318E+01 7.250E-04
6d_2De                                  !Configuration name
20                                      !Type of cross-section
35                                      !Number of cross-section points
1.00000E+00 2.240E+00
1.34868E+00 1.160E+00
1.69739E+00 6.820E-01
2.05080E+00 4.338E-01
2.40058E+00 2.941E-01
2.74979E+00 2.086E-01
3.10032E+00 1.528E-01
3.44351E+00 1.157E-01
3.78980E+00 8.950E-02
4.04765E+00 7.538E-02
4.32305E+00 6.350E-02
4.61333E+00 5.361E-02
4.92312E+00 4.526E-02
5.25370E+00 3.822E-02
5.61115E+00 3.219E-02
5.98794E+00 2.717E-02
6.39002E+00 2.295E-02
6.82480E+00 1.933E-02
7.30739E+00 1.619E-02
7.81108E+00 1.361E-02
8.30093E+00 1.161E-02
8.88790E+00 9.720E-03
9.49263E+00 8.190E-03
1.00963E+01 6.971E-03
1.07743E+01 5.885E-03
1.15074E+01 4.957E-03
1.22801E+01 4.185E-03
1.31047E+01 3.534E-03
1.40313E+01 2.959E-03
1.49860E+01 2.493E-03
1.59391E+01 2.122E-03
1.70094E+01 1.791E-03
1.82273E+01 1.497E-03
1.93866E+01 1.274E-03
2.06884E+01 1.079E-03
6f_2Fo                                  !Configuration name
20                                      !Type of cross-section
25                                      !Number of cross-section points
1.00000E+00 9.590E-02
1.36110E+00 3.937E-02
1.72448E+00 1.931E-02
2.07833E+00 1.079E-02
2.43685E+00 6.489E-03
2.79600E+00 4.137E-03
3.15505E+00 2.760E-03
3.51600E+00 1.906E-03
3.87602E+00 1.357E-03
4.09514E+00 1.128E-03
4.31585E+00 9.451E-04
4.54466E+00 7.940E-04
4.78959E+00 6.654E-04
5.03093E+00 5.633E-04
5.29766E+00 4.733E-04
5.57852E+00 3.977E-04
5.87917E+00 3.332E-04
6.19087E+00 2.800E-04
6.54631E+00 2.321E-04
6.89912E+00 1.945E-04
7.24072E+00 1.651E-04
7.63096E+00 1.384E-04
8.06907E+00 1.148E-04
8.46860E+00 9.740E-05
8.91758E+00 8.218E-05
7s_2Se                                  !Configuration name
20                                      !Type of cross-section
37                                      !Number of cross-section points
1.00000E+00 6.514E-01
1.40957E+00 3.660E-01
1.81893E+00 2.350E-01
2.22529E+00 1.648E-01
2.63319E+00 1.222E-01
3.04148E+00 9.455E-02
3.45501E+00 7.530E-02
3.86634E+00 6.157E-02
4.27647E+00 5.139E-02
4.68305E+00 4.370E-02
5.12400E+00 3.721E-02
5.58317E+00 3.191E-02
6.10380E+00 2.720E-02
6.67854E+00 2.317E-02
7.30130E+00 1.975E-02
7.98879E+00 1.682E-02
8.74102E+00 1.432E-02
9.55612E+00 1.221E-02
1.04559E+01 1.040E-02
1.14309E+01 8.868E-03
1.25073E+01 7.551E-03
1.37306E+01 6.394E-03
1.49611E+01 5.482E-03
1.64108E+01 4.649E-03
1.79710E+01 3.954E-03
1.96631E+01 3.367E-03
2.14073E+01 2.890E-03
2.34231E+01 2.462E-03
2.56072E+01 2.099E-03
2.80184E+01 1.787E-03
3.07590E+01 1.513E-03
3.36553E+01 1.288E-03
3.66712E+01 1.105E-03
4.00907E+01 9.422E-04
4.40121E+01 7.978E-04
4.79961E+01 6.831E-04
5.24280E+01 5.843E-04
7p_2Po                                  !Configuration name
20                                      !Type of cross-section
37                                      !Number of cross-section points
1.00000E+00 9.282E-01
1.43684E+00 5.086E-01
1.86964E+00 3.278E-01
2.30454E+00 2.308E-01
2.74064E+00 1.721E-01
3.17615E+00 1.337E-01
3.61703E+00 1.066E-01
4.05440E+00 8.718E-02
4.48821E+00 7.266E-02
4.92722E+00 6.175E-02
5.40016E+00 5.262E-02
5.89389E+00 4.513E-02
6.45424E+00 3.851E-02
7.07375E+00 3.280E-02
7.74627E+00 2.799E-02
8.48979E+00 2.385E-02
9.29694E+00 2.035E-02
1.01893E+01 1.733E-02
1.11580E+01 1.480E-02
1.22290E+01 1.261E-02
1.33917E+01 1.076E-02
1.47261E+01 9.112E-03
1.60725E+01 7.817E-03
1.76740E+01 6.624E-03
1.93704E+01 5.644E-03
2.12297E+01 4.809E-03
2.31707E+01 4.125E-03
2.53736E+01 3.520E-03
2.78091E+01 2.999E-03
3.04530E+01 2.559E-03
3.34874E+01 2.168E-03
3.67017E+01 1.847E-03
4.00574E+01 1.585E-03
4.38657E+01 1.352E-03
4.82366E+01 1.146E-03
5.26907E+01 9.815E-04
5.76521E+01 8.401E-04
7d_2De                                  !Configuration name
20                                      !Type of cross-section
33                                      !Number of cross-section points
1.00000E+00 2.750E+00
1.47690E+00 1.188E+00
1.95405E+00 6.319E-01
2.43077E+00 3.793E-01
2.91251E+00 2.454E-01
3.39225E+00 1.682E-01
3.86957E+00 1.204E-01
4.33748E+00 8.961E-02
4.81360E+00 6.811E-02
5.14968E+00 5.732E-02
5.50006E+00 4.846E-02
5.87917E+00 4.089E-02
6.28442E+00 3.450E-02
6.71760E+00 2.911E-02
7.17466E+00 2.461E-02
7.66920E+00 2.076E-02
8.22520E+00 1.738E-02
8.79216E+00 1.466E-02
9.36692E+00 1.247E-02
1.00376E+01 1.046E-02
1.07295E+01 8.823E-03
1.14309E+01 7.503E-03
1.22188E+01 6.330E-03
1.30611E+01 5.341E-03
1.39497E+01 4.516E-03
1.49113E+01 3.810E-03
1.59923E+01 3.189E-03
1.70947E+01 2.691E-03
1.82122E+01 2.289E-03
1.94513E+01 1.934E-03
2.08789E+01 1.616E-03
2.22252E+01 1.378E-03
2.37572E+01 1.167E-03
7f_2Fo                                  !Configuration name
20                                      !Type of cross-section
27                                      !Number of cross-section points
1.00000E+00 1.636E-01
1.49050E+00 5.296E-02
1.98358E+00 2.271E-02
2.47987E+00 1.147E-02
2.95652E+00 6.578E-03
3.44638E+00 4.015E-03
3.93459E+00 2.596E-03
4.42509E+00 1.751E-03
4.91492E+00 1.224E-03
5.19710E+00 1.018E-03
5.46352E+00 8.625E-04
5.77720E+00 7.175E-04
6.09364E+00 6.016E-04
6.42740E+00 5.044E-04
6.77945E+00 4.229E-04
7.12106E+00 3.591E-04
7.50485E+00 3.019E-04
7.91591E+00 2.531E-04
8.34949E+00 2.121E-04
8.79948E+00 1.784E-04
9.31244E+00 1.480E-04
9.82251E+00 1.241E-04
1.03175E+01 1.053E-04
1.08826E+01 8.835E-05
1.14691E+01 7.428E-05
1.20973E+01 6.227E-05
1.27599E+01 5.248E-05
8s_2Se                                  !Configuration name
20                                      !Type of cross-section
34                                      !Number of cross-section points
1.00000E+00 7.757E-01
1.54616E+00 3.642E-01
2.09572E+00 2.113E-01
2.64198E+00 1.390E-01
3.18410E+00 9.900E-02
