
******************************************************************************

       Photoionization cross-sections for Ar VIII

>> Data is from the Opacity project
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

14-Feb-2001                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
2p6_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
1053                                    !Total number of data pairs

3s_2Se                                  !Configuration name
 5.341D+01 3.235D-04
 5.783D+01 2.798D-04
 6.294D+01 2.448D-04
6p_2Po                                  !Configuration name
20                                      !Type of cross-section
35                                      !Number of cross-section points
 1.000D+00 6.118D-01
 1.322D+00 3.863D-01
 1.637D+00 2.660D-01
 1.958D+00 1.934D-01
 2.285D+00 1.460D-01
 2.601D+00 1.149D-01
 2.946D+00 9.094D-02
 3.437D+00 6.867D-02
 3.854D+00 5.570D-02
 4.475D+00 4.244D-02
 5.018D+00 3.442D-02
 5.798D+00 2.648D-02
 6.437D+00 2.185D-02
 7.075D+00 1.839D-02
 7.739D+00 1.561D-02
 8.464D+00 1.326D-02
 9.211D+00 1.136D-02
 1.008D+01 9.648D-03
 1.097D+01 8.267D-03
 1.199D+01 7.021D-03
 1.305D+01 6.016D-03
 1.428D+01 5.109D-03
 1.561D+01 4.339D-03
 1.831D+01 3.248D-03
 2.053D+01 2.635D-03
 2.372D+01 2.028D-03
 2.634D+01 1.672D-03
 2.895D+01 1.407D-03
 3.151D+01 1.206D-03
 3.446D+01 1.024D-03
 4.021D+01 7.743D-04
 4.486D+01 6.328D-04
 4.907D+01 5.374D-04
 5.726D+01 4.063D-04
 6.357D+01 3.384D-04
6d_2De                                  !Configuration name
20                                      !Type of cross-section
33                                      !Number of cross-section points
 1.000D+00 1.245D+00
 1.348D+00 6.537D-01
 1.695D+00 3.838D-01
 2.069D+00 2.377D-01
 2.426D+00 1.600D-01
 2.747D+00 1.163D-01
 3.081D+00 8.636D-02
 3.320D+00 7.147D-02
 3.559D+00 6.007D-02
 3.816D+00 5.049D-02
 4.071D+00 4.295D-02
 4.365D+00 3.611D-02
 4.657D+00 3.072D-02
 4.968D+00 2.614D-02
 5.327D+00 2.197D-02
 5.683D+00 1.870D-02
 6.094D+00 1.571D-02
 6.533D+00 1.320D-02
 6.970D+00 1.123D-02
 7.855D+00 8.353D-03
 8.634D+00 6.590D-03
 9.634D+00 5.019D-03
 1.043D+01 4.109D-03
 1.124D+01 3.410D-03
 1.205D+01 2.867D-03
 1.286D+01 2.439D-03
 1.372D+01 2.076D-03
 1.538D+01 1.563D-03
 1.674D+01 1.263D-03
 1.795D+01 1.062D-03
 1.925D+01 8.921D-04
