**************************************************************************************************

 C III photoioization data

 [Reference] C\,{\sc iii} photoioization data is from P.~J.Storey (private communication).

**************************************************************************************************

09-Apr-1997 18:34:43              !Date
217                               !Number of energy levels
2                                 !Number of photoionization routes
3.0                               !Screened nuclear charge
2s2Se/2s_2Se                      !Final state in ion
0                                 !Excitation energy of final state
2                                 !Statistical weight of ion
3000.0                            !Sigma used for Gaussian smoothing (km/s)
Megabarns                         !Cross-section unit
False                             !Split J levels
26501                             !Total number of data pairs

2s2s1Se                      !Configuration name
20                           !Type of cross-section
54                           !Number of cross-section points
 1.01761E+00   3.6181E+01
 1.02015E+00   5.6499E+01
 1.02270E+00   7.0994E+01
 1.02525E+00   7.1317E+01
 1.02781E+00   5.7974E+01
 1.03038E+00   3.8434E+01
 1.03295E+00   2.1299E+01
 1.03553E+00   1.0553E+01
 1.03812E+00   5.0752E+00
 1.04071E+00   2.7452E+00
 1.04331E+00   1.7263E+00
 1.04591E+00   1.2307E+00
 1.04853E+00   9.3895E-01
 1.05114E+00   7.3880E-01
 1.05377E+00   5.8753E-01
 1.05640E+00   4.7013E-01
 1.05904E+00   3.7468E-01
 1.06168E+00   2.9632E-01
 1.06433E+00   2.3008E-01
 1.06699E+00   1.7443E-01
 1.06965E+00   1.2739E-01
 1.07232E+00   8.9624E-02
 1.07500E+00   6.2714E-02
 1.07768E+00   5.4532E-02
 1.08038E+00   8.1770E-02
 1.08307E+00   1.8791E-01
 1.08578E+00   4.4375E-01
 1.08849E+00   9.4565E-01
 1.09121E+00   1.7122E+00
 1.09393E+00   2.5978E+00
 1.09666E+00   3.2811E+00
 1.09940E+00   3.4292E+00
 1.10215E+00   2.9990E+00
 1.10766E+00   1.4123E+00
 1.11042E+00   9.0059E-01
 1.11320E+00   9.3267E-01
 1.11597E+00   2.1242E+00
 1.11876E+00   5.4509E+00
 1.12155E+00   1.1830E+01
 1.12436E+00   2.0296E+01
 1.12716E+00   2.7383E+01
 1.12998E+00   2.9283E+01
 1.13280E+00   2.4746E+01
 1.13563E+00   1.6742E+01
 1.13846E+00   9.2219E+00
 1.14131E+00   4.2520E+00
 1.14415E+00   1.8148E+00
 1.14701E+00   7.8939E-01
 1.14987E+00   4.0549E-01
 1.15275E+00   2.5144E-01
 1.15562E+00   2.4455E-01
 1.15851E+00   3.9087E-01
 1.16140E+00   7.3731E-01
 1.16721E+00   1.7254E+00
 1.17013E+00   2.0724E+00
 1.17304E+00   2.4906E+00
 1.17598E+00   3.6647E+00
 1.17891E+00   6.3702E+00
 1.18186E+00   1.0363E+01
 1.18480E+00   1.3935E+01
 1.18776E+00   1.4980E+01
 1.19073E+00   1.2681E+01
 1.19370E+00   8.5345E+00
 1.19668E+00   4.6486E+00
 1.19967E+00   2.1689E+00
 1.20266E+00   1.1612E+00
 1.20567E+00   1.1091E+00
 1.20868E+00   1.7280E+00
 1.21170E+00   2.9814E+00
 1.21472E+00   4.9602E+00
 1.21776E+00   7.2639E+00
 1.22079E+00   8.8280E+00
 1.22385E+00   8.7072E+00
 1.22690E+00   6.9174E+00
 1.22997E+00   4.6792E+00
 1.23303E+00   3.3077E+00
 1.23612E+00   3.3060E+00
 1.23920E+00   4.3932E+00
 1.24230E+00   5.6525E+00
 1.24539E+00   6.1746E+00
 1.24851E+00   5.7601E+00
 1.25162E+00   4.9880E+00
 1.25475E+00   4.5892E+00
 1.26102E+00   4.7205E+00
 1.26417E+00   4.3938E+00
 1.26733E+00   3.8930E+00
 1.27049E+00   3.6401E+00
 1.27367E+00   3.7747E+00
 1.28003E+00   4.4459E+00
 1.28323E+00   4.6278E+00
 1.28964E+00   4.6994E+00
 1.32882E+00   4.3961E+00
 1.33274E+00   4.3961E-01
 1.33665E+00   4.3961E-02

2s3s3Se                      !Configuration name
20                           !Type of cross-section
164                          !Number of cross-section points
 1.00000E+00   1.5474E+00
 1.00500E+00   1.6781E+00
 1.00751E+00   1.7559E+00
 1.01002E+00   1.7748E+00
 1.01255E+00   1.6771E+00
 1.01508E+00   1.4483E+00
 1.01761E+00   1.1616E+00
 1.02015E+00   9.2696E-01
 1.02270E+00   8.0692E-01
 1.02525E+00   7.9657E-01
 1.03295E+00   9.4569E-01
 1.04071E+00   1.0273E+00
 1.05904E+00   1.0878E+00
 1.11320E+00   1.1351E+00
 1.12436E+00   1.1836E+00
 1.13563E+00   1.1057E+00
 1.14415E+00   1.1305E+00
 1.15275E+00   1.2169E+00
 1.15851E+00   1.3190E+00
 1.16140E+00   1.3322E+00
 1.16430E+00   1.2761E+00
 1.17013E+00   1.0015E+00
 1.17304E+00   8.9363E-01
 1.17598E+00   8.4928E-01
 1.17891E+00   8.5549E-01
 1.19073E+00   9.4436E-01
 1.22690E+00   1.0394E+00
 1.23303E+00   1.0416E+00
 1.24230E+00   1.1137E+00
 1.24539E+00   1.1038E+00
 1.24851E+00   1.0506E+00
 1.25475E+00   9.0024E-01
 1.25788E+00   8.6473E-01
 1.26102E+00   8.6171E-01
 1.28964E+00   1.0047E+00
 1.29287E+00   1.0094E+00
 1.29609E+00   9.9309E-01
 1.30583E+00   8.7609E-01
 1.30908E+00   8.6847E-01
 1.32221E+00   9.4336E-01
 1.32882E+00   9.3780E-01
 1.33546E+00   8.8962E-01
 1.34214E+00   8.8588E-01
 1.34885E+00   9.0580E-01
 1.35898E+00   8.9057E-01
 1.36918E+00   9.1439E-01
 1.38982E+00   8.6661E-01
 1.61414E+00   7.4454E-01
 1.75697E+00   7.2434E-01
 1.82849E+00   7.5313E-01
 1.87467E+00   8.1470E-01
 1.90293E+00   8.9158E-01
 1.92200E+00   9.8788E-01
 1.93644E+00   1.1091E+00
 1.94612E+00   1.2337E+00
 1.95585E+00   1.4318E+00
 1.96073E+00   1.5888E+00
 1.96563E+00   1.8340E+00
 1.97054E+00   2.2991E+00
 1.97546E+00   3.2815E+00
 1.98039E+00   5.4327E+00
 1.98534E+00   9.5812E+00
 1.99029E+00   1.6441E+01
 2.00024E+00   3.4576E+01
 2.00524E+00   4.0546E+01
 2.01024E+00   4.0667E+01
 2.01527E+00   3.5001E+01
 2.02535E+00   1.6245E+01
 2.03040E+00   8.9239E+00
 2.03547E+00   4.3156E+00
 2.04055E+00   1.9706E+00
 2.04565E+00   9.0382E-01
 2.05075E+00   4.7905E-01
 2.05588E+00   3.0949E-01
 2.06100E+00   2.4284E-01
 2.06616E+00   2.1484E-01
 2.07131E+00   2.0510E-01
 2.07649E+00   2.0306E-01
 2.09207E+00   2.1452E-01
 2.13957E+00   2.6362E-01
 2.18268E+00   2.9148E-01
 2.25459E+00   3.2277E-01
 2.27719E+00   3.5447E-01
 2.28858E+00   3.5463E-01
 2.31152E+00   3.4023E-01
 2.39365E+00   3.5960E-01
 2.43581E+00   3.8531E-01
 2.46023E+00   4.1716E-01
 2.47253E+00   4.4695E-01
 2.47870E+00   4.7091E-01
 2.48489E+00   5.1347E-01
 2.49109E+00   6.2089E-01
 2.49732E+00   9.3934E-01
 2.50354E+00   1.8615E+00
 2.50980E+00   3.9709E+00
 2.51606E+00   7.7315E+00
 2.52235E+00   1.2485E+01
 2.52864E+00   1.6183E+01
 2.53496E+00   1.6745E+01
 2.54129E+00   1.3680E+01
 2.54764E+00   8.8771E+00
 2.55399E+00   4.6128E+00
 2.56038E+00   1.9384E+00
 2.56676E+00   7.4837E-01
 2.57318E+00   3.7908E-01
 2.57960E+00   4.2826E-01
 2.58605E+00   7.0144E-01
 2.59249E+00   1.0979E+00
 2.59898E+00   1.4428E+00
 2.60546E+00   1.5395E+00
 2.61197E+00   1.3475E+00
 2.61848E+00   9.9056E-01
 2.62503E+00   6.5533E-01
 2.63158E+00   4.4307E-01
 2.63816E+00   3.4152E-01
 2.64473E+00   3.0724E-01
 2.65135E+00   3.0038E-01
 2.65796E+00   3.0481E-01
 2.66460E+00   3.1697E-01
 2.67125E+00   3.4000E-01
 2.67793E+00   3.7684E-01
 2.69132E+00   4.6670E-01
 2.70477E+00   5.1365E-01
 2.71152E+00   5.7336E-01
 2.71830E+00   7.1538E-01
 2.73189E+00   1.1563E+00
 2.73870E+00   1.2387E+00
