
******************************************************************************

       Photoionization cross-sections for S VI

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

08-Jul-99                               !Date
31                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
1Se                                     !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
4806                                    !Total number of data pairs

3s2Se                                   !Configuration name
7.0752D+00 2.184D-02
7.1104D+00 2.167D-02
7.1460D+00 2.149D-02
7.1816D+00 2.132D-02
7.8160D+00 1.866D-02
7.8549D+00 1.851D-02
7.8942D+00 1.837D-02
7.9335D+00 1.822D-02
8.6343D+00 1.594D-02
8.6773D+00 1.581D-02
8.7207D+00 1.569D-02
8.7641D+00 1.556D-02
9.5383D+00 1.362D-02
9.5858D+00 1.351D-02
9.6337D+00 1.340D-02
9.6817D+00 1.329D-02
1.0537D+01 1.163D-02
1.0642D+01 1.145D-02
1.1467D+01 1.017D-02
1.1525D+01 1.009D-02
1.1582D+01 1.002D-02
1.1640D+01 9.939D-03
1.1698D+01 9.861D-03
1.1757D+01 9.782D-03
1.2668D+01 8.692D-03
1.2731D+01 8.626D-03
1.2795D+01 8.560D-03
1.2859D+01 8.493D-03
1.2923D+01 8.426D-03
1.2988D+01 8.359D-03
1.3994D+01 7.427D-03
1.4064D+01 7.370D-03
1.4134D+01 7.314D-03
1.4205D+01 7.256D-03
1.4276D+01 7.199D-03
1.4419D+01 7.084D-03
1.5460D+01 6.346D-03
1.5537D+01 6.297D-03
1.5614D+01 6.248D-03
1.5692D+01 6.199D-03
1.5770D+01 6.150D-03
1.5849D+01 6.101D-03
1.7078D+01 5.421D-03
1.7164D+01 5.380D-03
1.7249D+01 5.339D-03
1.7335D+01 5.297D-03
1.7422D+01 5.255D-03
1.7509D+01 5.213D-03
1.8866D+01 4.632D-03
1.8961D+01 4.597D-03
1.9055D+01 4.561D-03
1.9150D+01 4.525D-03
1.9246D+01 4.489D-03
1.9342D+01 4.453D-03
2.1050D+01 3.897D-03
2.1155D+01 3.866D-03
2.1261D+01 3.836D-03
2.1367D+01 3.805D-03
2.3254D+01 3.329D-03
2.3604D+01 3.250D-03
2.5688D+01 2.844D-03
2.6075D+01 2.777D-03
2.7958D+01 2.487D-03
2.8097D+01 2.468D-03
2.8237D+01 2.449D-03
2.8378D+01 2.430D-03
2.8520D+01 2.411D-03
2.8805D+01 2.372D-03
3.0885D+01 2.125D-03
3.1039D+01 2.109D-03
3.1663D+01 2.044D-03
3.1980D+01 2.010D-03
3.4460D+01 1.788D-03
3.4631D+01 1.774D-03
3.4805D+01 1.760D-03
3.5153D+01 1.732D-03
3.7690D+01 1.551D-03
3.7878D+01 1.540D-03
3.8068D+01 1.528D-03
3.8257D+01 1.516D-03
3.8449D+01 1.504D-03
3.8640D+01 1.492D-03
4.1637D+01 1.326D-03
4.1844D+01 1.315D-03
4.2053D+01 1.305D-03
4.2263D+01 1.295D-03
4.2474D+01 1.285D-03
4.2685D+01 1.274D-03
4.6456D+01 1.115D-03
4.6687D+01 1.106D-03
4.6921D+01 1.097D-03
4.7155D+01 1.089D-03
5.1320D+01 9.527D-04
5.1575D+01 9.453D-04
5.1833D+01 9.377D-04
5.2092D+01 9.302D-04
5.6693D+01 8.139D-04
5.6975D+01 8.076D-04
5.7260D+01 8.011D-04
5.7545D+01 7.947D-04
6.2629D+01 6.954D-04
6.3255D+01 6.845D-04
6.8159D+01 6.081D-04
6.8500D+01 6.034D-04
6.8841D+01 5.988D-04
6.9878D+01 5.847D-04
7.5295D+01 5.195D-04
7.5672D+01 5.155D-04
7.6049D+01 5.116D-04
7.6429D+01 5.076D-04
7.6810D+01 5.036D-04
7.7194D+01 4.995D-04
8.3179D+01 4.439D-04
8.3595D+01 4.405D-04
8.4011D+01 4.371D-04
8.4431D+01 4.337D-04
8.4852D+01 4.303D-04
8.8299D+01 4.009D-04
3d2De                                !Configuration name
20                                      !Type of cross-section
43                                      !Number of cross-section points
1.0000D+00 6.915D-01
1.0100D+00 6.723D-01
1.0406D+00 6.149D-01
1.0458D+00 6.051D-01
1.1047D+00 5.052D-01
1.1669D+00 4.217D-01
1.2143D+00 3.715D-01
1.2204D+00 3.654D-01
1.2891D+00 3.043D-01
1.3616D+00 2.529D-01
1.4383D+00 2.100D-01
1.5192D+00 1.743D-01
1.6048D+00 1.446D-01
1.6951D+00 1.199D-01
1.7905D+00 9.958D-02
1.8913D+00 8.273D-02
1.9978D+00 6.871D-02
2.1102D+00 5.707D-02
2.2290D+00 4.739D-02
2.3545D+00 3.936D-02
2.4870D+00 3.268D-02
2.6270D+00 2.713D-02
2.7749D+00 2.252D-02
2.9311D+00 1.870D-02
3.0961D+00 1.551D-02
3.2704D+00 1.288D-02
3.4545D+00 1.069D-02
3.6489D+00 8.873D-03
3.8544D+00 7.366D-03
4.0713D+00 6.118D-03
4.3005D+00 5.080D-03
4.5426D+00 4.220D-03
4.7983D+00 3.505D-03
5.0684D+00 2.911D-03
5.3538D+00 2.418D-03
5.6551D+00 2.008D-03
5.9735D+00 1.668D-03
6.3096D+00 1.384D-03
6.6649D+00 1.149D-03
7.0400D+00 9.543D-04
7.4364D+00 7.920D-04
7.8549D+00 6.574D-04
7.9335D+00 6.351D-04
4s2Se                                !Configuration name
20                                      !Type of cross-section
194                                     !Number of cross-section points
1.0000D+00 3.256D-01
1.0050D+00 3.252D-01
1.0406D+00 3.122D-01
1.0458D+00 3.101D-01
1.0616D+00 3.037D-01
1.0669D+00 3.015D-01
1.0776D+00 2.971D-01
1.1553D+00 2.686D-01
1.1611D+00 2.667D-01
1.1669D+00 2.648D-01
1.1727D+00 2.628D-01
1.1786D+00 2.609D-01
1.1844D+00 2.590D-01
1.2891D+00 2.283D-01
1.2955D+00 2.265D-01
1.3960D+00 2.022D-01
1.4029D+00 2.007D-01
1.5117D+00 1.788D-01
1.5192D+00 1.774D-01
1.6289D+00 1.590D-01
1.6370D+00 1.578D-01
1.8356D+00 1.315D-01
2.0077D+00 1.144D-01
2.0178D+00 1.135D-01
2.0278D+00 1.126D-01
2.0481D+00 1.108D-01
2.1960D+00 9.931D-02
2.2069D+00 9.855D-02
2.2179D+00 9.779D-02
2.2290D+00 9.703D-02
2.2401D+00 9.626D-02
2.2513D+00 9.549D-02
2.4259D+00 8.489D-02
2.4380D+00 8.424D-02
2.4501D+00 8.359D-02
2.4624D+00 8.293D-02
2.4747D+00 8.228D-02
2.4870D+00 8.162D-02
2.7067D+00 7.144D-02
2.7202D+00 7.088D-02
2.7338D+00 7.032D-02
2.7474D+00 6.975D-02
2.9901D+00 6.106D-02
3.0050D+00 6.058D-02
3.0200D+00 6.010D-02
3.0351D+00 5.961D-02
3.3031D+00 5.218D-02
3.3196D+00 5.177D-02
3.3362D+00 5.136D-02
3.3528D+00 5.095D-02
3.6489D+00 4.460D-02
3.7039D+00 4.354D-02
4.0310D+00 3.812D-02
4.0917D+00 3.721D-02
4.3870D+00 3.334D-02
4.4089D+00 3.309D-02
4.4309D+00 3.283D-02
4.5201D+00 3.181D-02
4.8464D+00 2.850D-02
4.8705D+00 2.828D-02
4.8948D+00 2.807D-02
4.9192D+00 2.785D-02
4.9438D+00 2.763D-02
4.9933D+00 2.719D-02
5.3538D+00 2.436D-02
5.3804D+00 2.417D-02
5.4073D+00 2.399D-02
5.4342D+00 2.380D-02
5.4614D+00 2.361D-02
5.5161D+00 2.324D-02
5.9143D+00 2.082D-02
5.9437D+00 2.066D-02
5.9735D+00 2.050D-02
6.0032D+00 2.034D-02
6.0332D+00 2.018D-02
6.0936D+00 1.986D-02
6.5335D+00 1.779D-02
6.5660D+00 1.766D-02
6.5989D+00 1.752D-02
6.6317D+00 1.738D-02
6.6649D+00 1.725D-02
6.7316D+00 1.697D-02
7.2175D+00 1.520D-02
7.2535D+00 1.509D-02
7.2898D+00 1.497D-02
7.3261D+00 1.486D-02
7.3627D+00 1.474D-02
7.3994D+00 1.462D-02
7.9335D+00 1.310D-02
8.0129D+00 1.290D-02
8.1336D+00 1.260D-02
8.2559D+00 1.230D-02
8.8080D+00 1.111D-02
8.8518D+00 1.103D-02
8.8961D+00 1.094D-02
8.9404D+00 1.086D-02
8.9851D+00 1.077D-02
9.0299D+00 1.068D-02
9.8275D+00 9.351D-03
9.8764D+00 9.278D-03
9.9259D+00 9.204D-03
9.9753D+00 9.130D-03
1.0856D+01 7.990D-03
1.0910D+01 7.928D-03
1.0965D+01 7.865D-03
1.1020D+01 7.802D-03
1.1993D+01 6.829D-03
1.2053D+01 6.775D-03
1.2113D+01 6.722D-03
1.2173D+01 6.668D-03
1.3249D+01 5.836D-03
1.3315D+01 5.791D-03
1.3381D+01 5.745D-03
1.3448D+01 5.699D-03
1.4636D+01 4.988D-03
1.4856D+01 4.870D-03
1.5849D+01 4.396D-03
1.6008D+01 4.330D-03
1.6249D+01 4.230D-03
1.6411D+01 4.163D-03
1.7596D+01 3.729D-03
1.7684D+01 3.701D-03
1.7772D+01 3.673D-03
1.8130D+01 3.558D-03
1.9438D+01 3.187D-03
1.9535D+01 3.163D-03
1.9633D+01 3.139D-03
1.9731D+01 3.114D-03
1.9829D+01 3.090D-03
2.0028D+01 3.041D-03
2.1473D+01 2.725D-03
2.1581D+01 2.704D-03
2.1688D+01 2.683D-03
2.1797D+01 2.662D-03
2.1905D+01 2.641D-03
2.2124D+01 2.599D-03
2.3722D+01 2.329D-03
2.3840D+01 2.311D-03
2.3959D+01 2.293D-03
2.4079D+01 2.275D-03
2.4199D+01 2.258D-03
2.4320D+01 2.239D-03
2.6205D+01 1.990D-03
2.6336D+01 1.975D-03
2.6467D+01 1.960D-03
2.6600D+01 1.944D-03
2.6732D+01 1.929D-03
2.6866D+01 1.914D-03
2.8949D+01 1.701D-03
2.9094D+01 1.688D-03
2.9238D+01 1.675D-03
2.9385D+01 1.662D-03
2.9531D+01 1.649D-03
2.9679D+01 1.635D-03
3.1821D+01 1.465D-03
3.1980D+01 1.454D-03
3.2461D+01 1.420D-03
3.2949D+01 1.386D-03
3.5681D+01 1.223D-03
3.5860D+01 1.214D-03
3.6038D+01 1.204D-03
3.6219D+01 1.195D-03
3.9417D+01 1.046D-03
3.9614D+01 1.038D-03
3.9812D+01 1.029D-03
4.0011D+01 1.021D-03
4.3544D+01 8.938D-04
4.3762D+01 8.867D-04
4.3980D+01 8.797D-04
4.4200D+01 8.726D-04
4.8103D+01 7.639D-04
4.8344D+01 7.579D-04
4.8584D+01 7.519D-04
4.8827D+01 7.458D-04
5.3139D+01 6.528D-04
5.3940D+01 6.374D-04
5.8703D+01 5.580D-04
5.9290D+01 5.492D-04
5.9587D+01 5.448D-04
5.9884D+01 5.403D-04
6.4849D+01 4.769D-04
6.5826D+01 4.656D-04
7.0577D+01 4.171D-04
7.0929D+01 4.139D-04
7.1284D+01 4.107D-04
7.1638D+01 4.076D-04
7.1997D+01 4.043D-04
7.2717D+01 3.979D-04
7.7967D+01 3.565D-04
7.8355D+01 3.538D-04
7.8747D+01 3.511D-04
7.9139D+01 3.483D-04
7.9535D+01 3.456D-04
8.3179D+01 3.184D-04
4p2Po                                !Configuration name
20                                      !Type of cross-section
184                                     !Number of cross-section points
1.0000D+00 5.424D-01
1.0510D+00 5.108D-01
1.0722D+00 4.978D-01
1.0829D+00 4.912D-01
1.0883D+00 4.879D-01
1.1727D+00 4.414D-01
1.1786D+00 4.385D-01
1.1844D+00 4.356D-01
1.1963D+00 4.297D-01
1.2083D+00 4.238D-01
1.2143D+00 4.208D-01
1.3282D+00 3.708D-01
1.3348D+00 3.681D-01
1.4383D+00 3.298D-01
1.4454D+00 3.274D-01
1.4527D+00 3.249D-01
1.4672D+00 3.200D-01
1.5731D+00 2.877D-01
1.5810D+00 2.855D-01
1.5889D+00 2.832D-01
