
******************************************************************************

       Photoionization cross-sections for Ne VIII

>> Data is from the Opacity project
>>   Smoothed with a gausian of width 2999 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

19-Jun-2001                             !Date
53                                      !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
1s2_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
918                                     !Total number of data pairs

2s_2Se                                  !Configuration name
 1.546D+01 2.916D-04
7s_2Se                                  !Configuration name
20                                      !Type of cross-section
34                                      !Number of cross-section points
 1.000D+00 1.034D+00
 1.173D+00 7.627D-01
 1.335D+00 5.862D-01
 1.527D+00 4.460D-01
 1.729D+00 3.462D-01
 1.949D+00 2.713D-01
 2.207D+00 2.100D-01
 2.487D+00 1.644D-01
 2.789D+00 1.296D-01
 3.050D+00 1.080D-01
 3.386D+00 8.708D-02
 3.722D+00 7.153D-02
 4.092D+00 5.878D-02
 4.498D+00 4.822D-02
 4.944D+00 3.956D-02
 5.407D+00 3.280D-02
 5.827D+00 2.804D-02
 6.310D+00 2.368D-02
 6.833D+00 2.005D-02
 7.700D+00 1.552D-02
 8.256D+00 1.334D-02
 8.896D+00 1.138D-02
 1.008D+01 8.724D-03
 1.124D+01 6.884D-03
 1.254D+01 5.427D-03
 1.372D+01 4.466D-03
 1.493D+01 3.706D-03
 1.625D+01 3.080D-03
 1.877D+01 2.236D-03
 2.105D+01 1.733D-03
 2.325D+01 1.386D-03
 2.660D+01 1.025D-03
 2.881D+01 8.552D-04
 2.983D+01 8.094D-04
7p_2Po                                  !Configuration name
20                                      !Type of cross-section
38                                      !Number of cross-section points
 1.000D+00 1.358D+00
 1.161D+00 1.005D+00
 1.322D+00 7.613D-01
 1.504D+00 5.764D-01
 1.704D+00 4.396D-01
 1.910D+00 3.423D-01
 2.142D+00 2.653D-01
 2.438D+00 1.995D-01
 2.747D+00 1.520D-01
 3.050D+00 1.198D-01
 3.370D+00 9.567D-02
 3.704D+00 7.692D-02
 4.071D+00 6.168D-02
 4.431D+00 5.050D-02
 4.798D+00 4.179D-02
 5.248D+00 3.368D-02
 5.683D+00 2.784D-02
 6.216D+00 2.232D-02
 6.698D+00 1.856D-02
 7.182D+00 1.559D-02
 7.700D+00 1.311D-02
 8.215D+00 1.109D-02
 9.350D+00 7.982D-03
 1.043D+01 6.000D-03
 1.164D+01 4.488D-03
 1.286D+01 3.441D-03
 1.393D+01 2.766D-03
 1.500D+01 2.254D-03
 1.617D+01 1.831D-03
 1.725D+01 1.528D-03
 1.831D+01 1.288D-03
 2.033D+01 9.531D-04
 2.235D+01 7.251D-04
 2.396D+01 5.900D-04
 2.543D+01 4.940D-04
 2.796D+01 3.714D-04
 2.938D+01 3.193D-04
 3.013D+01 3.016D-04
7d_2De                                  !Configuration name
20                                      !Type of cross-section
40                                      !Number of cross-section points
 1.000D+00 1.414D+00
 1.155D+00 1.034D+00
 1.289D+00 7.979D-01
 1.438D+00 6.155D-01
 1.597D+00 4.782D-01
 1.764D+00 3.746D-01
 1.949D+00 2.924D-01
 2.142D+00 2.303D-01
 2.331D+00 1.856D-01
 2.550D+00 1.466D-01
 2.817D+00 1.129D-01
 3.050D+00 9.137D-02
 3.303D+00 7.358D-02
 3.577D+00 5.909D-02
 3.835D+00 4.862D-02
 4.112D+00 3.997D-02
 4.387D+00 3.320D-02
 4.704D+00 2.714D-02
 5.043D+00 2.213D-02
 5.301D+00 1.912D-02
 5.627D+00 1.595D-02
 6.003D+00 1.317D-02
 6.341D+00 1.110D-02
