
********************************************************************************

                 Energy Levels and statistical weights for C2        

********************************************************************************

01-Sep-1989                                      !Date
22                                               !Number of energy levels
196622.0000                                      !Ionization energy
2.0                                              !Screened nuclear charge
85                                               !Number of transitions
2p2p2p2Po-2s2s5s2Se     1.775E-02   7.536E+05    21710.27     13- 15     69
2p2p2p2Po-2s2s5d2De     1.482E-01   5.642E+06    10253.00     13- 18     70
2p2p2p2Po-2s2p3p2Pe     1.697E-01   2.001E+07     7521.44     13- 21     71
2p2p2p2Po-2s2p3p2De     2.240E-01   3.536E+07     5035.37     13- 22     72
2s2s4f2Fo-2s2s5d2De     1.421E-02   1.202E+06    10507.25     14- 18     73
2s2s4f2Fo-2s2s5g2Ge     1.324E+00   7.000E+07     9905.64     14- 20     74
2s2s4f2Fo-2s2p3p2De     3.123E-04   1.123E+05     5095.93     14- 22     75
2s2s5s2Se-2s2s5p2Po     8.241E-01   6.925E+05    51439.03     15- 16     76
2s2s5s2Se-2s2p3s2Po     1.019E+00   4.465E+06    22527.03     15- 17     77
2s2s5p2Po-2s2s5d2De     9.211E-01   3.782E+06    31219.94     16- 18     78
2s2s5p2Po-2s2p3p2Pe     2.560E-02   7.769E+05    14825.42     16- 21     79
2s2s5p2Po-2s2p3p2De     1.755E-01   1.244E+07     7513.52     16- 22     80
2s2p3s2Po-2s2s5d2De     1.444E-01   2.897E+04   1.412E+05     17- 18     81
2s2p3s2Po-2s2p3p2Pe     8.632E-03   1.040E+05    23528.82     17- 21     82
2s2p3s2Po-2s2p3p2De     5.833E-02   2.730E+06     9247.04     17- 22     83
2s2s5d2De-2s2s5f2Fo     1.914E-01   1.938E+04   2.169E+05     18- 19     84
2s2s5f2Fo-2s2s5g2Ge     2.615E-02   1.857E+02   8.547E+05     19- 20     85


********************************************************************************

                        Oscillator strengths for C2        

********************************************************************************

  Transition                f           A          Lam(A)      i-j    Trans. #

2s2s2p2Po-2s2p2p4Pe     7.145E-08   4.405E+01     2325.85      1-  2      1
2s2s2p2Po-2s2p2p2De     1.419E-01   3.185E+08     1335.28      1-  3      2
2s2s2p2Po-2s2p2p2Se     1.435E-01   2.671E+09     1036.77      1-  4      3
2s2s2p2Po-2s2p2p2Pe     5.047E-01   4.119E+09      904.06      1-  5      4
2s2s2p2Po-2s2s3s2Se     6.536E-03   1.775E+08      858.38      1-  6      5
2s2p2p2De-2s2s3p2Po     2.869E-02   1.029E+08     1760.49      3-  7     13
2s2p2p2Se-2s2s3p2Po     2.258E-01   6.235E+07     2837.69      4-  7     21
2s2p2p2Pe-2s2s3p2Po     3.589E-04   1.064E+05     4743.49      5-  7     26
2s2s3s2Se-2s2s3p2Po     6.597E-01   3.387E+07     6580.95      6-  7     32
2s2s2p2Po-2s2s3d2De     3.613E-01   3.062E+09      687.23      1-  8      6
2s2s3p2Po-2s2s3d2De     5.279E-01   4.034E+07     7236.76      7-  8     37
2s2p2p2De-2p2p2p2Do     1.391E-01   5.294E+08     1323.91      3-  9     14
2s2p2p2Pe-2p2p2p2Do     9.534E-02   6.048E+07     2511.74      5-  9     27
2s2s3d2De-2p2p2p2Do     2.290E-06   3.687E+01    20353.65      8-  9     44
2s2s2p2Po-2s2s4s2Se     5.078E-03   2.511E+08      636.15      1- 10      7
2s2s3p2Po-2s2s4s2Se     1.339E-01   1.743E+08     3921.16      7- 10     38
2s2p2p2De-2s2s4p2Po     2.942E-02   2.509E+08     1141.64      3- 11     15
2s2p2p2Se-2s2s4p2Po     1.911E-04   1.853E+05     1514.45      4- 11     22
2s2p2p2Pe-2s2s4p2Po     3.599E-03   6.459E+06     1927.81      5- 11     28
