 
******************************************************************************
 
       Photoionization cross-sections for N III
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
 7-Jun-1999                             !Date
102                                     !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2s1Se/2s2_1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
12820                                   !Total number of data pairs
 
2s2_2p_2Po                              !Configuration name
 9.926D+00 4.108D-01
 9.975D+00 4.029D-01
 1.023D+01 2.391D-01
 1.048D+01 7.074D-02
 1.273D+01 1.566D-02
 1.546D+01 9.430D-03
 1.877D+01 5.608D-03
 2.280D+01 3.296D-03
 2.768D+01 1.915D-03
 3.361D+01 1.101D-03
 4.082D+01 6.267D-04
 4.956D+01 3.534D-04
 6.018D+01 1.975D-04
 7.308D+01 1.095D-04
 8.874D+01 6.028D-05
 1.078D+02 3.295D-05
 1.309D+02 1.789D-05
 1.589D+02 9.659D-06
 1.929D+02 5.185D-06
 2.343D+02 2.770D-06
 2.845D+02 1.473D-06
 3.455D+02 7.801D-07
 4.195D+02 4.115D-07
 5.094D+02 2.163D-07
 6.185D+02 1.133D-07
 7.511D+02 5.921D-08
 9.121D+02 3.085D-08
 1.107D+03 1.603D-08
 1.345D+03 8.313D-09
 1.633D+03 4.302D-09
 1.983D+03 2.222D-09
 2.095D+03 1.846D-09
2s_2p2_4Pe                              !Configuration name
20                                      !Type of cross-section
108                                     !Number of cross-section points
 1.000D+00 0.000D+00
 1.127D+00 0.000D+00
 1.133D+00 1.266D-04
 1.150D+00 3.082D-02
 1.155D+00 1.114D-01
 1.161D+00 3.315D-01
 1.167D+00 7.708D-01
 1.179D+00 2.333D+00
 1.190D+00 3.781D+00
 1.196D+00 4.136D+00
 1.202D+00 4.301D+00
 1.208D+00 4.349D+00
 1.214D+00 4.353D+00
 1.239D+00 4.292D+00
 1.245D+00 4.275D+00
 1.251D+00 4.258D+00
 1.257D+00 4.241D+00
 1.264D+00 4.224D+00
 1.289D+00 4.164D+00
 1.295D+00 4.164D+00
 1.302D+00 4.176D+00
 1.308D+00 4.181D+00
 1.315D+00 4.138D+00
 1.335D+00 3.571D+00
 1.341D+00 3.398D+00
 1.348D+00 3.309D+00
 1.355D+00 3.284D+00
 1.362D+00 3.300D+00
 1.368D+00 3.345D+00
 1.375D+00 3.440D+00
 1.389D+00 3.861D+00
 1.396D+00 4.102D+00
 1.403D+00 4.173D+00
 1.410D+00 4.003D+00
 1.417D+00 3.654D+00
 1.424D+00 3.309D+00
 1.431D+00 3.097D+00
 1.438D+00 3.007D+00
 1.453D+00 2.951D+00
 1.460D+00 2.916D+00
 1.467D+00 2.884D+00
 1.475D+00 2.873D+00
 1.482D+00 2.887D+00
 1.489D+00 2.918D+00
 1.497D+00 2.942D+00
 1.504D+00 2.930D+00
 1.519D+00 2.798D+00
 1.527D+00 2.725D+00
 1.542D+00 2.635D+00
 1.581D+00 2.512D+00
 1.597D+00 2.465D+00
 1.605D+00 2.441D+00
 1.613D+00 2.416D+00
 1.621D+00 2.392D+00
 1.629D+00 2.368D+00
 1.637D+00 2.343D+00
 1.653D+00 2.294D+00
 1.662D+00 2.269D+00
 1.670D+00 2.244D+00
 1.687D+00 2.194D+00
 1.695D+00 2.168D+00
 1.704D+00 2.143D+00
 1.712D+00 2.117D+00
 1.721D+00 2.091D+00
 1.729D+00 2.065D+00
 1.738D+00 2.039D+00
 1.746D+00 2.013D+00
 1.755D+00 1.987D+00
 1.773D+00 1.934D+00
 1.782D+00 1.907D+00
 1.808D+00 1.827D+00
 1.817D+00 1.799D+00
 1.939D+00 1.522D+00
 1.949D+00 1.504D+00
 2.079D+00 1.290D+00
 2.218D+00 1.106D+00
 2.366D+00 9.482D-01
 2.378D+00 9.375D-01
 2.390D+00 9.267D-01
 2.550D+00 7.939D-01
 2.562D+00 7.846D-01
 2.734D+00 6.720D-01
 2.917D+00 5.753D-01
 3.112D+00 4.924D-01
 3.320D+00 4.211D-01
 3.542D+00 3.600D-01
 3.778D+00 3.076D-01
 4.031D+00 2.627D-01
 4.301D+00 2.243D-01
 4.588D+00 1.914D-01
 4.895D+00 1.632D-01
 5.222D+00 1.392D-01
 5.571D+00 1.186D-01
 5.944D+00 1.010D-01
 6.341D+00 8.592D-02
 6.765D+00 7.306D-02
 7.218D+00 6.209D-02
 7.700D+00 5.273D-02
 8.215D+00 4.473D-02
 8.764D+00 3.793D-02
 9.350D+00 3.214D-02
 9.779D+00 2.863D-02
 9.876D+00 2.786D-02
 9.975D+00 2.709D-02
 1.008D+01 2.631D-02
 1.075D+01 2.167D-02
 1.147D+01 1.785D-02
 1.170D+01 1.681D-02
2s_2p2_2De                              !Configuration name
20                                      !Type of cross-section
142                                     !Number of cross-section points
 1.000D+00 1.484D+00
 1.005D+00 2.328D+00
 1.015D+00 5.238D+00
 1.025D+00 7.957D+00
 1.041D+00 1.349D+01
 1.046D+00 1.502D+01
 1.051D+00 1.496D+01
 1.067D+00 6.939D+00
 1.072D+00 4.634D+00
 1.078D+00 3.685D+00
 1.083D+00 4.531D+00
 1.094D+00 9.476D+00
 1.099D+00 1.087D+01
 1.105D+00 9.782D+00
 1.116D+00 4.241D+00
 1.121D+00 2.592D+00
 1.127D+00 2.409D+00
 1.138D+00 3.938D+00
 1.144D+00 4.263D+00
 1.150D+00 3.901D+00
 1.155D+00 3.325D+00
 1.161D+00 2.989D+00
 1.173D+00 2.843D+00
 1.184D+00 2.419D+00
 1.190D+00 2.380D+00
 1.196D+00 2.657D+00
 1.208D+00 3.828D+00
 1.220D+00 5.000D+00
 1.233D+00 6.642D+00
 1.239D+00 7.156D+00
 1.245D+00 6.912D+00
 1.257D+00 5.056D+00
 1.264D+00 4.242D+00
 1.270D+00 3.748D+00
 1.276D+00 3.479D+00
 1.283D+00 3.358D+00
 1.289D+00 3.324D+00
 1.295D+00 3.402D+00
 1.302D+00 3.649D+00
 1.315D+00 4.692D+00
 1.322D+00 5.061D+00
 1.328D+00 5.005D+00
 1.341D+00 4.009D+00
 1.348D+00 3.712D+00
 1.355D+00 3.736D+00
 1.362D+00 3.981D+00
 1.368D+00 4.218D+00
 1.375D+00 4.294D+00
 1.382D+00 4.266D+00
 1.389D+00 4.283D+00
 1.396D+00 4.431D+00
 1.410D+00 5.000D+00
 1.417D+00 5.170D+00
 1.424D+00 5.076D+00
 1.438D+00 4.140D+00
 1.445D+00 3.707D+00
 1.453D+00 3.432D+00
 1.460D+00 3.313D+00
 1.467D+00 3.276D+00
 1.475D+00 3.276D+00
 1.482D+00 3.298D+00
 1.489D+00 3.366D+00
 1.504D+00 3.665D+00
 1.512D+00 3.801D+00
 1.519D+00 3.818D+00
 1.527D+00 3.688D+00
 1.534D+00 3.480D+00
 1.542D+00 3.311D+00
 1.550D+00 3.255D+00
 1.565D+00 3.300D+00
 1.573D+00 3.273D+00
 1.581D+00 3.206D+00
 1.589D+00 3.149D+00
 1.597D+00 3.130D+00
 1.613D+00 3.141D+00
 1.621D+00 3.132D+00
 1.629D+00 3.097D+00
 1.645D+00 2.981D+00
 1.670D+00 2.852D+00
 1.721D+00 2.718D+00
 1.746D+00 2.651D+00
 1.755D+00 2.629D+00
 1.764D+00 2.606D+00
 1.773D+00 2.584D+00
 1.782D+00 2.561D+00
 1.791D+00 2.538D+00
 1.799D+00 2.515D+00
 1.808D+00 2.492D+00
 1.817D+00 2.469D+00
 1.836D+00 2.423D+00
 1.845D+00 2.399D+00
 1.854D+00 2.375D+00
 1.873D+00 2.328D+00
 1.882D+00 2.304D+00
 1.891D+00 2.280D+00
 1.901D+00 2.256D+00
 1.910D+00 2.231D+00
 1.920D+00 2.207D+00
 1.929D+00 2.182D+00
 1.939D+00 2.157D+00
 1.958D+00 2.108D+00
 1.978D+00 2.057D+00
 1.988D+00 2.032D+00
 2.018D+00 1.955D+00
 2.028D+00 1.930D+00
 2.048D+00 1.878D+00
 2.058D+00 1.851D+00
 2.207D+00 1.539D+00
 2.274D+00 1.444D+00
 2.285D+00 1.428D+00
 2.426D+00 1.249D+00
 2.438D+00 1.236D+00
 2.614D+00 1.056D+00
 2.803D+00 9.003D-01
 3.005D+00 7.665D-01
 3.222D+00 6.517D-01
 3.455D+00 5.532D-01
 3.704D+00 4.689D-01
 3.971D+00 3.969D-01
 4.031D+00 3.833D-01
 4.051D+00 3.787D-01
 4.279D+00 3.318D-01
 4.301D+00 3.279D-01
 4.611D+00 2.768D-01
 4.944D+00 2.334D-01
 5.301D+00 1.966D-01
 5.683D+00 1.654D-01
 6.094D+00 1.390D-01
 6.533D+00 1.167D-01
 7.005D+00 9.783D-02
 7.511D+00 8.196D-02
 8.053D+00 6.861D-02
 8.634D+00 5.741D-02
 9.258D+00 4.801D-02
 9.926D+00 4.015D-02
 1.064D+01 3.356D-02
 1.135D+01 2.830D-02
 1.158D+01 2.672D-02
 1.176D+01 2.556D-02
 1.182D+01 2.517D-02
 1.267D+01 2.043D-02
 1.358D+01 1.657D-02
2s_2p2_2Se                              !Configuration name
20                                      !Type of cross-section
156                                     !Number of cross-section points
 1.000D+00 3.011D-03
