  Transition                                                  f           A          Lam(A)      i-j    Trans. #

2p5_3p_3De[2]             -2p5(2P*<1/2>)6s_2{1/2}o[1]    1.7000E-03  8.5874E+06    1483.506       8-  35       81
2p5_3p_3De[1]             -2p5(2P*<3/2>)3d_2{1/2}o[0]    2.1333E-02  4.4769E+07    3087.057       9-  16       82
2p5_3p_3De[1]             -2p5(2P*<3/2>)3d_2{1/2}o[1]    1.7333E-04  1.2191E+05    3078.747       9-  17       83
2p5_3p_3De[1]             -2p5(2P*<3/2>)3d_2{3/2}o[2]    6.6667E-03  2.8397E+06    3064.374       9-  18       84
2p5_3p_3De[1]             -2p5(2P*<3/2>)4s_2{3/2}o[2]    9.0000E-03  4.0016E+06    2999.329       9-  21       85
2p5_3p_3De[1]             -2p5(2P*<3/2>)3d_2{5/2}o[2]    1.3333E+00  5.9886E+08    2984.191       9-  22       86
2p5_3p_3De[1]             -2p5(2P*<3/2>)3d_2{3/2}o[1]    8.0000E-02  6.0170E+07    2977.128       9-  24       87
2p5_3p_3De[1]             -2p5(2P*<3/2>)4s_2{3/2}o[1]    7.0000E-02  5.3054E+07    2965.746       9-  25       88
2p5_3p_3De[1]             -2p5(2P*<1/2>)4s_2{1/2}o[0]    7.6667E-02  1.8308E+08    2893.954       9-  26       89
2p5_3p_3De[1]             -2p5(2P*<1/2>)3d_2{5/2}o[2]    2.7333E-01  1.3124E+08    2886.259       9-  27       90
2p5_3p_3De[1]             -2p5(2P*<1/2>)3d_2{3/2}o[2]    5.0000E-02  2.4230E+07    2872.957       9-  29       91
2p5_3p_3De[1]             -2p5(2P*<1/2>)3d_2{3/2}o[1]    1.5333E-02  1.2488E+07    2861.021       9-  30       92
2p5_3p_3De[1]             -2p5(2P*<1/2>)4s_2{1/2}o[1]    2.2000E-01  1.7974E+08    2856.508       9-  31       93
2p5_3p_3De[1]             -2p5(2P*<3/2>)5s_2{3/2}o[1]    5.0000E-03  1.0293E+07    1800.055       9-  32       94
2p5_3p_3De[1]             -2p5(2P*<1/2>)5s_2{1/2}o[1]    4.3333E-03  9.3359E+06    1759.561       9-  33       95
2p5_3p_3De[1]             -2p5(2P*<3/2>)6s_2{3/2}o[1]    1.7000E-03  4.8739E+06    1525.312       9-  34       96
2p5_3p_3De[1]             -2p5(2P*<1/2>)6s_2{1/2}o[1]    1.4667E-03  4.3756E+06    1495.259       9-  35       97
