
******************************************************************************

       Photoionization cross-sections for Ar VII

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

15-Feb-2001                             !Date
153                                     !Number of energy levels
1                                       !Number of photoionization routes
7.0                                     !Screened nuclear charge
2p6_3s_2Se/3s_2Se                       !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
32686                                   !Total number of data pairs

3s2_1Se                                 !Configuration name
 3.238D+00 7.795D-02
 3.595D+00 5.696D-02
 3.951D+00 4.289D-02
 4.322D+00 3.278D-02
 4.704D+00 2.543D-02
 5.068D+00 2.032D-02
 5.434D+00 1.649D-02
 5.798D+00 1.358D-02
 6.155D+00 1.135D-02
 6.501D+00 9.631D-03
 7.182D+00 7.144D-03
 7.777D+00 5.625D-03
 8.297D+00 4.633D-03
 9.211D+00 3.385D-03
 9.779D+00 2.831D-03
 1.008D+01 2.670D-03
3p2_1Se                                 !Configuration name
20                                      !Type of cross-section
77                                      !Number of cross-section points
 1.000D+00 1.552D+00
 1.005D+00 1.456D+00
 1.010D+00 1.229D+00
 1.015D+00 9.305D-01
 1.020D+00 6.882D-01
 1.025D+00 6.343D-01
 1.030D+00 8.108D-01
 1.035D+00 1.100D+00
 1.041D+00 1.281D+00
 1.046D+00 1.212D+00
 1.056D+00 6.673D-01
 1.062D+00 5.226D-01
 1.067D+00 5.481D-01
 1.078D+00 8.083D-01
 1.083D+00 8.297D-01
 1.088D+00 7.385D-01
 1.094D+00 6.107D-01
 1.099D+00 5.189D-01
 1.105D+00 4.823D-01
 1.110D+00 4.909D-01
 1.116D+00 5.460D-01
 1.127D+00 7.600D-01
 1.133D+00 8.393D-01
 1.138D+00 8.652D-01
 1.150D+00 8.539D-01
 1.167D+00 9.319D-01
 1.173D+00 9.332D-01
 1.179D+00 8.882D-01
 1.190D+00 7.343D-01
 1.196D+00 6.834D-01
 1.202D+00 6.598D-01
 1.233D+00 6.229D-01
 1.264D+00 7.279D-01
 1.270D+00 7.134D-01
 1.283D+00 6.449D-01
 1.295D+00 6.058D-01
 1.322D+00 6.525D-01
 1.382D+00 5.328D-01
 1.424D+00 5.687D-01
 1.482D+00 5.396D-01
 1.497D+00 5.487D-01
 1.519D+00 5.951D-01
 1.527D+00 5.944D-01
 1.550D+00 5.442D-01
 1.605D+00 4.705D-01
 1.645D+00 4.469D-01
 1.662D+00 4.476D-01
 1.712D+00 4.334D-01
 1.729D+00 4.454D-01
 1.755D+00 5.023D-01
 1.764D+00 4.968D-01
 1.791D+00 4.207D-01
 1.808D+00 4.005D-01
 1.845D+00 4.185D-01
 1.882D+00 3.827D-01
 2.048D+00 3.248D-01
 2.475D+00 2.023D-01
 2.627D+00 1.690D-01
 2.789D+00 1.413D-01
 2.946D+00 1.199D-01
 3.112D+00 1.017D-01
 3.287D+00 8.632D-02
 3.649D+00 6.308D-02
 4.031D+00 4.679D-02
 4.409D+00 3.576D-02
 4.798D+00 2.774D-02
 5.196D+00 2.184D-02
 5.599D+00 1.746D-02
 5.973D+00 1.438D-02
 6.341D+00 1.202D-02
 6.698D+00 1.020D-02
 7.399D+00 7.565D-03
 8.013D+00 5.957D-03
 8.549D+00 4.906D-03
 9.444D+00 3.639D-03
 1.003D+01 3.042D-03
 1.038D+01 2.791D-03
3s_3d_3De                               !Configuration name
20                                      !Type of cross-section
63                                      !Number of cross-section points
 1.000D+00 5.909D-01
 1.030D+00 5.720D-01
 1.078D+00 5.027D-01
 1.083D+00 5.139D-01
 1.088D+00 5.668D-01
 1.094D+00 6.961D-01
 1.105D+00 1.133D+00
 1.110D+00 1.250D+00
 1.116D+00 1.182D+00
 1.127D+00 7.357D-01
 1.133D+00 5.615D-01
 1.138D+00 4.675D-01
 1.144D+00 4.262D-01
 1.155D+00 4.020D-01
 1.196D+00 3.756D-01
 1.208D+00 3.921D-01
 1.214D+00 4.306D-01
 1.226D+00 5.685D-01
 1.233D+00 6.085D-01
 1.239D+00 5.881D-01
 1.251D+00 4.319D-01
 1.257D+00 3.665D-01
 1.264D+00 3.294D-01
 1.270D+00 3.155D-01
 1.276D+00 3.213D-01
 1.283D+00 3.536D-01
 1.289D+00 4.219D-01
 1.302D+00 5.933D-01
 1.308D+00 6.082D-01
 1.315D+00 5.502D-01
 1.322D+00 4.585D-01
 1.328D+00 3.850D-01
 1.335D+00 3.578D-01
 1.355D+00 3.992D-01
 1.375D+00 3.785D-01
 1.403D+00 4.050D-01
 1.489D+00 3.516D-01
 1.613D+00 3.018D-01
 1.662D+00 2.745D-01
 1.791D+00 2.353D-01
 2.008D+00 1.852D-01
 2.438D+00 1.143D-01
 2.588D+00 9.551D-02
 2.747D+00 7.984D-02
 2.917D+00 6.674D-02
 3.081D+00 5.663D-02
 3.254D+00 4.805D-02
 3.437D+00 4.077D-02
 3.816D+00 2.979D-02
 4.195D+00 2.243D-02
 4.588D+00 1.715D-02
 4.993D+00 1.330D-02
 5.380D+00 1.063D-02
 5.769D+00 8.624D-03
 6.155D+00 7.102D-03
 6.501D+00 6.026D-03
 6.867D+00 5.113D-03
 7.548D+00 3.850D-03
 8.174D+00 3.031D-03
 8.677D+00 2.534D-03
 9.586D+00 1.880D-03
 1.018D+01 1.572D-03
 1.048D+01 1.477D-03
3s_3d_1De                               !Configuration name
20                                      !Type of cross-section
78                                      !Number of cross-section points
 1.000D+00 4.706D-01
 1.010D+00 5.041D-01
 1.025D+00 5.307D-01
 1.041D+00 6.862D-01
 1.046D+00 6.746D-01
 1.062D+00 4.790D-01
 1.067D+00 4.501D-01
 1.083D+00 4.264D-01
 1.088D+00 4.340D-01
 1.094D+00 4.671D-01
 1.099D+00 5.508D-01
 1.105D+00 7.125D-01
 1.116D+00 1.211D+00
 1.121D+00 1.376D+00
 1.127D+00 1.374D+00
 1.133D+00 1.230D+00
